"SID","SID2","beepvar3","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","studied","interacted","se","academic_motiv","sick","free","A_rude_sd","E_quiet_sd","C_lazy_sd","N_relaxed_sd","N_depressed_sd","E_outgoing_sd","A_kind_sd","C_reliable_sd","N_worried_sd"
"10208",157,20,-0.810810810810811,-2.70212765957447,-0.425531914893617,0.787234042553192,-0.212765957446809,1.40425531914894,0.486486486486486,0.404255319148936,-0.872340425531915,0,1,5,3,5,0,0.717418010399184,1.28392898383153,1.03723463554621,0.805852781159727,0.463266765705479,1.24515713113691,0.575651676896701,0.613598596594574,0.797196753756446
"10210",158,17,0.545454545454545,0.9,0.9,-0.0666666666666664,1.56666666666667,0.966666666666667,0.5,-1.03333333333333,0.333333333333333,0,1,4,1,4,0,0.570980567775673,1.32222383206058,1.51657508881031,1.31131240743198,0.727932041794606,1.42594997574716,0.776819332832332,1.09806517403876,0.958926602970768
"10212",160,23,-0.137931034482759,1.27450980392157,0.117647058823529,0.274509803921569,-0.0392156862745099,-0.215686274509804,-0.379310344827586,-0.0588235294117645,0.254901960784314,0,1,4,4,2,0,0.434701641636398,1.21784122729605,0.886500058060447,1.13275648526149,0.196039211763921,1.25401316564374,0.580130781925878,0.881175685227012,0.868173652097366
"10213",161,24,0,1.66666666666667,0.911111111111111,1,-0.177777777777778,-1.66666666666667,0,-1.22222222222222,0.288888888888889,0,0,5,3,5,0,0.375183239688433,0.977008420918394,0.995951400380156,1.08711461300922,0.534657447211376,1.29684932888065,0.473542420742244,0.822658906696862,1.01404281383126
"10217",165,25,-0.000594530321046394,-0.310344827586207,0.258620689655172,0.448275862068965,-0.46551724137931,-0.672413793103448,-0.0214030915576697,0.155172413793103,-0.620689655172414,1,0,4,5,4,0,0.130067976808597,0.994844544882038,0.869771997297985,0.626110628448568,0.680956943827319,1.08236147016009,0.557921469673602,0.365231199928332,0.670888026500424
"10219",166,20,0.444444444444444,-0.551724137931035,-0.517241379310345,-0.827586206896552,0.344827586206897,0.379310344827586,0.074074074074074,-0.0344827586206895,0.896551724137931,1,1,4,4,3,0,0.556348640264187,0.827483573274665,1.05629709210905,0.966176762785057,0.613878889228481,0.862462964150937,0.650600048632355,0.625799980635623,0.673202770674148
"10222",169,23,0,0.245283018867925,0.415094339622641,-0.622641509433962,-0.132075471698113,-0.358490566037736,0,-0.339622641509434,0.39622641509434,1,0,3,3,3,0,0.415364264865759,1.09026567646745,1.02720611114568,1.06023246896321,0.481892736590935,1.36006701789968,0.648751971772819,0.807260234144696,0.839863144563753
"10226",171,20,-0.0526315789473686,-1.09090909090909,0.545454545454545,0,-1.54545454545455,1.13636363636364,0.388888888888889,-1.31818181818182,-0.863636363636364,1,1,2,3,2,0,0.212397697621437,0.867897893330058,0.800432783369497,0.816496580927726,0.857864054457777,0.888843793949921,0.627837474335432,0.779887881829887,0.774317182792103
"10227",172,19,-0.59375,0.276595744680851,0.276595744680851,0.0638297872340425,0.170212765957447,-0.808510638297872,-0.03125,-0.957446808510638,0.021276595744681,1,0,4,4,2,0,0.459648968140954,0.578683951422253,0.615104362285976,0.567383595383955,0.636537813903573,0.711345872955852,0.488314536908868,0.657976040548017,0.642324640326656
"10232",177,18,-0.00432900432900429,2.15151515151515,-0.787878787878788,-0.575757575757576,0.272727272727273,-2.06060606060606,0.0108225108225106,0.0303030303030303,1.15151515151515,0,0,4,5,5,0,0.326321583914753,1.27772287980444,1.05349346692255,1.19974744817146,1.03901176824204,1.53987406017899,1.03527102770432,1.35749881410741,0.972150069472691
"10234",179,21,1.14285714285714,0.565217391304348,-2.5,0.195652173913043,-0.521739130434783,-0.869565217391304,0.428571428571428,0.760869565217391,-0.0217391304347827,1,1,3,5,5,1,0.831903535311332,0.934574743768962,1.32916013582513,1.1854594086943,1.02716720341341,1.04581059793984,0.703731550548997,1.0151033359263,1.14482663286791
"10236",180,21,-0.304347826086957,1.02,0.78,-0.64,1.74,-1.9,-2.34782608695652,-0.22,0.02,0,1,3,3,1,0,0.724767808487693,1.2370141800451,1.1480240344494,0.875051018920775,0.63277813115286,1.23304832154515,1.26519162546906,0.887325723043974,1.13371342165866
"10241",185,24,-0.134615384615385,1.12727272727273,-1.41818181818182,1.30909090909091,0.509090909090909,-0.890909090909091,0.769230769230769,-1.01818181818182,-0.763636363636364,1,1,2,4,2,1,0.472536345999541,1.00100959137273,1.04864832029775,1.10340763886626,0.920401025172206,0.809039834955891,0.784464540552736,0.89216567741625,0.9806202943118
"10242",186,20,-0.678571428571429,-2.75675675675676,-2.02702702702703,2.16216216216216,-0.27027027027027,2.62162162162162,0.5,-0.0540540540540539,-1.24324324324324,0,1,5,1,5,0,0.944386085965417,1.4606962838433,1.69125999194694,1.25860402195611,0.607757656775601,1.51568377219567,0.726483157256779,1.41315144163568,1.47959088574822
"10245",189,25,-0.790697674418605,1.60714285714286,-0.0535714285714284,-0.196428571428572,0.214285714285714,0.375,-0.302325581395349,-0.125,-0.178571428571428,0,1,5,5,1,1,0.727589782898022,1.3840463921359,1.31314532682055,1.05174561143312,0.779610292256463,1.25860673329317,0.618939965393332,0.764258404658339,1.25201136877125
"10248",191,21,0,1.26470588235294,1.47058823529412,1.29411764705882,-0.0294117647058822,-0.941176470588235,0,0,-1.20588235294118,0,0,4,2,5,1,0.633446065971917,1.23849428448081,1.18667587971348,0.905518828835775,0.171498585142509,0.951591218277216,0.646508183835236,0.738548945875996,0.913846740174538
"10251",194,18,-0.227272727272727,1.83333333333333,-0.0416666666666665,0.125,0.0153342390039699,0.541666666666667,-0.5,0.833333333333333,-0.208333333333333,0,1,4,5,2,0,0.654869265533749,1.37260991217989,1.45898018780441,0.9469631093315,0,1.41357292199487,0.966841563388569,1.12931940514656,0.414851116999053
"10258",198,18,-0.0321121197361775,-1.65,-1.45,-1.35,-0.1,0.4,0.0588235294117645,0.5,-0.65,0,1,5,5,1,0,0,1.56524758424985,1.356271980176,0.812727700887249,0.307793505625546,1.53554379189983,0.222565953629863,0.827170191868511,0.745159820370595
