"SID","day","real_order","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","pos_emotion","neg_emotion","authentic","SE","Happy","Lonely"
"10445",40,3,1,5,1,1,2,1,5,5,3,4,3,5,3,2,4
"10438",48,3,1,2,2,5,1,4,5,5,1,4,1,5,4,4,1
"10472",4,3,1,4,2,4,1,4,1,5,1,4,1,3,5,4,1
"10465",24,3,1,5,2,5,1,1,3,4,1,4,2,4,3,4,2
"10453",8,3,2,3,4,5,1,2,3,4,1,4,2,4,3,5,2
"10452",24,3,2,2,1,3,2,1,2,5,3,NA,3,5,5,3,1
"10479",4,3,NA,2,3,5,1,1,NA,3,1,3,2,5,4,4,1
"10397",52,3,1,4,1,2,2,1,4,5,3,2,4,5,3,2,2
"10451",28,3,1,1,1,5,1,5,5,5,1,5,1,5,5,5,1
"10422",56,3,2,2,3,4,1,3,3,1,3,4,2,3,4,4,2
"10486",4,3,1,4,3,3,1,3,4,4,1,2,2,4,3,3,2
"10490",24,3,NA,4,3,3,1,1,NA,3,1,3,1,3,2,3,1
"10493",28,3,1,5,1,1,3,1,3,5,5,1,4,5,4,2,1
"10441",56,3,NA,3,3,3,3,3,NA,3,5,3,3,3,4,3,1
"10459",32,3,1,4,4,4,5,2,4,3,3,5,5,5,3,4,2
"10432",52,3,1,5,2,3,1,1,4,5,2,2,2,5,3,3,1
"10437",48,2,1,5,1,2,4,1,4,3,3,3,5,3,2,2,3
"10450",36,2,1,5,1,2,1,1,3,5,2,4,2,5,5,3,1
"10422",52,2,NA,2,3,3,1,4,NA,3,2,4,2,4,4,4,2
"10445",36,2,3,5,3,3,3,1,4,3,3,2,4,4,3,2,3
"10451",24,2,1,5,5,1,5,5,1,1,1,5,5,5,1,5,5
"10492",4,2,1,2,2,3,1,3,3,3,2,3,1,4,3,3,2
"10449",32,2,1,2,2,4,3,4,4,5,3,4,2,5,4,3,1
"10480",24,2,1,5,1,1,1,1,1,5,5,5,5,5,3,3,2
"10397",48,2,2,2,2,2,2,2,4,4,4,3,3,4,2,2,2
"10432",48,2,1,2,1,4,1,3,4,4,2,4,3,5,5,4,1
"10493",24,2,1,1,5,5,1,5,2,5,1,2,4,5,1,4,1
"10452",20,2,1,2,2,4,1,4,3,5,1,5,1,5,5,5,1
"10453",4,2,2,2,2,5,2,4,3,3,1,4,4,3,3,4,1
"10459",28,2,2,3,3,1,2,1,3,3,4,1,4,4,1,2,4
"10448",32,2,1,1,3,3,1,4,4,4,2,4,1,4,4,4,1
"10438",44,2,2,1,1,5,1,5,4,5,1,5,1,5,3,5,1
"10444",44,1,NA,1,2,3,2,2,NA,3,2,2,3,4,2,3,2
"10465",16,1,1,3,3,5,1,3,4,4,2,4,1,4,4,4,2
"10454",28,1,1,4,3,3,1,4,5,4,3,3,1,5,4,3,1
"10432",44,1,1,2,2,4,1,5,5,5,1,5,1,5,5,5,1
"10459",24,1,3,3,3,1,3,2,3,3,5,2,3,5,3,2,2
"10451",20,1,1,1,1,5,1,5,5,5,1,5,1,5,5,5,1
"10493",20,1,1,3,5,5,1,2,1,5,1,2,4,4,2,2,1
"10438",40,1,1,3,4,5,1,3,4,3,1,4,1,5,4,4,1
"10397",44,1,1,5,2,3,2,2,4,4,3,2,2,4,3,3,2
"10490",16,1,NA,4,2,3,1,1,NA,3,1,3,1,2,2,3,1
"10447",16,1,1,1,1,2,3,5,5,5,5,4,2,5,4,4,1
"10442",48,1,1,2,1,3,1,3,3,4,2,3,1,3,3,3,2
"10452",16,1,1,3,3,4,1,3,3,5,2,3,1,5,4,4,1
"10480",20,1,2,4,2,2,2,3,3,3,4,3,2,2,2,4,2
"10437",44,1,2,2,1,1,3,3,3,4,5,5,5,5,3,3,1
"10448",28,1,1,3,1,3,1,3,4,5,2,3,2,4,3,3,1
"10449",24,7,1,2,1,4,1,4,4,4,2,5,1,4,5,5,1
"10465",12,7,2,2,3,5,1,4,5,4,1,4,1,4,4,4,1
"10448",24,7,1,2,2,2,1,4,4,5,3,3,2,4,3,3,1
"10454",24,7,1,4,3,1,5,1,3,3,5,2,5,5,1,1,2
"10397",40,7,1,2,2,2,2,2,5,5,5,2,4,4,2,2,2
"10490",12,7,NA,4,3,3,1,1,NA,3,1,3,1,1,2,3,1
"10445",28,7,1,5,4,3,2,4,5,5,4,3,3,5,3,3,1
"10459",20,7,3,3,3,2,4,2,2,3,4,2,4,3,2,1,4
"10438",36,7,1,3,4,5,1,3,5,4,1,4,1,4,4,4,1
"10447",12,7,1,4,2,3,1,3,5,5,3,4,1,5,5,4,1
"10480",16,7,2,3,2,3,2,2,3,4,4,4,3,4,4,3,1
"10452",12,7,3,3,3,3,1,2,3,4,2,4,3,5,4,4,1
