"SID","day","real_order","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","pos_emotion","neg_emotion","authentic","SE","Happy","Lonely"
"10547",57,5,NA,4,2,5,1,1,NA,3,1,3,1,3,4,3,1
"10547",53,4,2,2,1,3,1,4,5,5,2,4,2,4,5,4,2
"10539",53,3,2,5,3,4,2,3,3,3,3,4,2,3,3,3,2
"10547",49,3,1,3,2,5,1,3,5,5,1,5,1,4,5,5,1
"10539",49,2,NA,3,4,5,2,2,NA,3,2,5,2,4,4,4,3
"10547",41,1,2,3,2,3,1,4,4,4,3,4,3,4,4,3,1
"10526",53,1,2,3,2,3,1,4,4,4,3,4,2,3,5,4,2
"10547",37,7,1,4,1,3,1,3,4,4,2,4,3,4,5,4,1
"10539",37,6,3,3,2,1,3,2,3,4,5,2,3,4,2,2,3
"10547",33,6,NA,5,1,2,2,1,NA,4,4,2,3,3,3,2,2
"10539",33,5,2,5,1,2,3,2,2,4,4,3,3,3,3,2,3
"10547",29,5,1,5,1,3,1,1,4,5,2,4,2,3,5,4,1
"10526",41,5,1,5,2,3,1,1,2,4,3,4,2,4,5,3,1
"10539",29,4,NA,3,2,3,3,2,NA,4,2,4,3,3,3,3,3
"10547",25,4,1,5,1,1,2,1,1,5,3,3,4,3,4,3,1
"10547",21,3,1,5,1,3,1,2,4,5,1,4,2,4,5,4,1
"10539",25,3,NA,4,2,2,4,2,NA,5,4,2,4,3,2,2,3
"10539",21,2,NA,3,2,3,2,3,NA,4,3,3,2,3,3,2,3
"10541",33,2,1,4,1,3,1,3,3,4,2,3,1,3,3,2,2
"10547",17,2,NA,5,1,1,3,1,NA,4,4,2,4,5,3,1,4
"10536",29,1,NA,5,5,4,3,1,NA,2,2,2,3,2,2,2,4
"10539",17,1,NA,3,3,3,4,2,NA,5,3,3,3,5,3,3,3
"10547",13,1,1,3,2,3,1,3,5,5,3,4,1,5,5,4,1
"10539",13,7,NA,5,5,4,2,1,NA,2,2,3,2,5,3,3,3
"10536",25,7,NA,5,5,4,2,1,NA,2,2,2,2,3,3,2,1
"10543",53,7,2,3,2,3,1,3,3,3,2,3,2,3,3,4,1
"10509",53,7,1,2,2,5,1,4,3,3,1,4,1,5,4,5,1
"10547",9,7,1,5,2,4,2,3,3,4,1,3,2,4,4,3,2
"10526",17,6,2,2,1,5,1,5,3,3,1,5,2,4,5,5,1
"10509",49,6,NA,2,3,5,1,4,NA,4,2,4,1,5,5,4,1
"10539",9,6,NA,5,5,5,2,1,NA,2,1,4,1,5,4,4,2
"10515",57,6,NA,3,5,5,1,1,NA,4,1,4,2,5,4,4,1
"10547",5,6,NA,5,2,4,1,1,NA,3,1,3,2,2,4,3,3
"10536",21,6,NA,5,5,4,2,1,NA,2,1,1,2,3,2,2,3
"10541",17,5,1,3,2,3,1,3,3,3,3,3,1,4,3,3,2
"10530",57,5,NA,5,4,3,1,1,NA,2,2,4,2,3,4,4,2
"10539",5,5,1,4,5,4,1,1,3,3,1,3,2,3,3,3,3
"10536",17,5,1,2,2,4,1,5,3,4,1,4,1,4,5,3,1
"10535",49,4,2,4,3,2,3,2,2,2,3,2,3,2,2,3,3
"10543",41,4,2,3,2,3,1,3,4,4,2,3,2,3,4,4,1
"10530",53,4,NA,5,4,4,2,1,NA,3,1,3,2,4,4,3,2
"10536",13,4,2,5,2,2,1,1,4,2,4,1,3,2,2,1,1
"10498",53,4,NA,5,3,3,1,1,NA,3,2,3,2,3,4,3,2
"10512",57,4,2,2,1,4,1,2,3,3,3,3,3,3,4,4,1
"10526",9,4,1,4,2,2,1,2,3,2,4,3,3,3,4,3,2
"10541",13,4,1,3,2,4,1,3,5,4,4,4,1,3,3,4,2
"10515",49,4,NA,4,2,2,2,1,NA,5,4,3,4,5,3,3,1
"10523",49,3,3,5,2,3,1,4,3,4,3,3,2,5,4,5,1
"10512",53,3,1,2,1,2,1,3,4,4,2,4,2,4,4,4,1
"10536",9,3,1,1,1,5,1,5,3,4,1,4,1,4,5,4,1
"10530",49,3,1,5,2,4,1,2,3,5,2,3,2,5,4,4,1
"10543",37,3,2,3,3,4,1,3,3,3,2,3,2,4,4,4,1
"10498",49,3,1,5,2,3,1,2,3,4,2,3,2,3,4,2,1
"10485",57,3,NA,4,3,3,1,3,NA,4,2,5,1,4,4,5,1
"10509",37,3,NA,5,3,2,2,2,NA,3,4,3,3,5,3,3,1
"10515",45,3,1,3,1,3,1,2,1,5,2,2,2,3,4,4,1
"10541",9,3,1,2,2,5,1,4,4,4,1,5,1,5,5,5,1
"10526",5,3,1,4,3,4,2,3,3,3,2,3,3,4,4,3,2
"10528",53,3,2,3,2,4,1,3,3,4,2,4,1,4,4,4,1
"10517",57,3,1,2,3,4,1,4,5,5,1,4,2,5,4,4,1
"10536",5,2,1,4,4,5,1,3,4,3,2,3,2,4,4,4,2
"10530",45,2,1,5,2,2,2,1,4,5,3,2,2,3,4,3,1
"10528",49,2,1,1,1,4,2,3,3,4,3,3,2,3,4,3,2
"10485",53,2,2,5,3,4,1,2,4,4,1,4,2,4,5,4,1
"10509",33,2,1,4,3,3,2,4,3,4,2,4,3,5,4,3,1
"10535",41,2,2,2,3,4,1,4,3,3,1,4,2,4,4,4,1
"10541",5,2,1,4,3,3,1,3,3,3,4,3,2,4,4,4,2
"10517",53,2,NA,5,5,4,1,1,NA,5,1,4,3,5,4,3,3
"10543",33,2,2,4,2,3,1,2,3,4,2,4,2,3,4,4,1
"10530",41,1,1,4,1,2,1,3,3,5,3,3,3,5,4,3,1
"10535",37,1,2,3,4,2,2,2,3,2,4,2,2,3,3,3,2
"10509",29,1,2,1,2,3,1,4,3,4,3,4,3,5,4,4,1
"10523",45,1,1,4,1,3,1,2,3,5,2,4,1,5,4,3,1
"10528",45,1,1,3,2,3,1,3,3,4,3,3,2,4,3,3,2
"10485",49,1,NA,2,3,2,2,4,3,2,2,4,2,3,5,5,1
"10473",57,1,3,4,1,1,3,1,3,5,3,2,4,NA,2,2,1
"10516",53,1,NA,5,1,2,1,1,NA,5,4,3,3,3,3,3,1
"10515",37,1,2,4,4,4,1,3,3,5,1,4,2,3,5,4,1
"10517",49,1,2,3,3,3,1,2,4,4,1,3,2,4,4,3,2
"10498",41,1,1,5,2,2,2,1,3,4,3,2,3,3,4,2,2
"10509",25,7,2,3,3,5,2,3,3,4,3,4,2,5,3,3,2
"10540",37,7,NA,3,5,4,3,1,NA,4,3,4,2,5,3,3,2
"10513",49,7,2,3,3,4,1,4,4,4,1,5,1,5,5,5,1
"10530",37,7,2,3,2,4,2,4,3,4,3,4,2,5,5,3,1
"10543",25,7,2,3,3,4,1,3,3,2,2,3,2,3,4,4,2
"10485",45,7,2,3,3,3,1,4,4,3,2,5,3,5,4,4,3
"10535",29,6,1,3,3,4,1,4,3,2,1,4,2,3,3,4,2
"10509",21,6,1,2,3,4,1,4,3,4,1,4,1,4,4,4,1
"10515",29,6,NA,5,5,5,2,1,NA,3,1,3,1,3,4,4,1
"10498",33,6,1,1,3,4,2,4,5,5,2,4,2,5,4,4,1
"10517",41,6,2,3,3,5,1,4,4,4,1,4,2,5,4,4,1
"10530",33,6,3,2,1,4,2,5,2,4,2,5,2,4,4,5,1
"10477",57,6,2,2,3,4,3,3,3,3,4,4,2,4,3,3,1
"10485",41,6,2,3,1,4,1,4,4,3,2,4,3,3,5,4,2
"10516",45,6,3,3,1,2,1,3,3,4,3,4,2,4,4,4,1
"10515",25,5,1,2,2,4,1,3,5,5,1,3,2,3,5,3,1
"10517",37,5,NA,5,5,5,1,1,NA,1,1,3,2,4,3,3,3
"10513",41,5,1,2,3,5,1,4,5,5,2,4,1,5,4,5,1
"10485",37,5,2,2,2,3,1,3,4,3,2,4,2,4,4,5,2
"10530",29,5,2,4,2,3,1,3,3,5,3,4,2,4,3,3,2
"10494",57,5,NA,5,1,5,1,1,NA,3,3,3,1,5,4,5,2
"10473",45,5,NA,NA,3,5,1,3,NA,3,2,4,2,NA,3,4,1
"10506",53,4,2,4,4,4,1,2,4,3,1,4,2,4,4,4,3
"10512",29,4,1,4,5,3,2,2,5,4,2,4,2,3,4,4,1
"10460",49,4,1,1,2,5,1,5,4,5,1,5,1,5,4,5,1
"10530",25,4,1,3,4,4,1,2,4,4,1,4,2,4,5,4,2
"10509",13,4,1,2,5,5,1,4,4,4,3,4,2,5,4,4,1
"10510",57,4,2,3,5,4,3,3,3,4,2,4,3,5,2,4,1
"10528",29,4,1,2,3,4,1,4,3,4,2,3,2,4,3,4,1
"10540",25,4,1,2,3,4,4,4,3,5,4,4,3,3,2,3,1
"10494",53,4,NA,5,1,5,1,1,NA,5,3,4,1,5,5,5,1
"10497",41,4,2,2,4,4,1,3,4,4,1,4,2,4,4,5,1
"10513",37,4,2,3,5,5,3,4,3,5,2,5,1,5,5,4,2
"10517",33,4,1,3,1,4,1,5,5,4,1,4,1,5,4,4,2
"10472",57,3,1,5,3,5,1,1,1,5,1,5,1,5,5,3,1
"10466",53,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3,1
"10486",57,3,1,4,1,4,1,5,4,4,3,4,2,5,5,4,4
"10460",45,3,2,2,3,3,4,3,3,3,4,2,4,2,1,3,2
"10512",25,3,1,4,5,4,4,2,4,4,1,2,2,3,2,3,2
"10540",21,3,1,1,2,4,1,5,4,4,1,5,1,5,4,5,1
"10543",9,3,2,4,3,3,2,2,3,3,2,3,2,3,3,3,2
"10528",25,3,1,2,4,4,1,5,4,3,1,3,1,4,4,4,1
"10494",49,3,1,3,2,5,1,5,5,5,3,5,1,5,5,5,1
"10473",37,3,2,3,3,3,2,4,3,3,2,4,3,3,3,4,2
"10509",9,3,1,1,3,5,2,5,4,5,3,5,3,5,4,4,1
"10517",29,3,1,3,5,5,2,2,5,5,1,3,2,3,4,4,2
"10530",21,3,3,3,1,4,1,2,3,5,3,3,1,4,4,3,2
"10515",17,3,NA,5,3,4,1,1,NA,5,1,4,2,3,4,5,2
"10516",29,2,1,2,2,5,1,5,3,4,1,5,1,5,4,5,1
"10483",45,2,3,3,2,3,2,2,3,3,2,3,NA,3,3,3,2
"10494",45,2,NA,3,1,5,1,1,NA,5,1,5,1,5,5,5,1
"10543",5,2,2,3,3,3,2,3,2,2,3,3,2,3,3,3,1
"10528",21,2,1,1,1,2,1,2,3,4,1,1,2,3,2,2,1
"10479",53,2,1,4,1,3,2,3,3,3,3,3,2,3,4,4,2
"10517",25,2,1,3,3,2,2,4,4,4,4,4,2,5,4,4,2
"10513",29,2,1,5,5,3,4,1,5,3,4,2,4,5,4,3,3
"10485",25,2,1,3,2,4,2,5,4,4,2,4,1,4,3,4,2
"10530",17,2,1,5,4,5,2,1,3,3,3,3,2,5,4,3,3
"10510",49,2,1,2,2,4,1,3,3,4,1,4,1,5,4,5,1
"10473",33,2,NA,5,3,2,3,2,NA,3,3,3,3,3,2,3,2
"10492",57,2,1,1,1,3,1,5,4,4,1,4,2,4,3,4,1
"10509",5,2,1,2,4,3,1,4,3,4,1,4,4,5,4,3,1
"10540",17,2,1,5,1,4,1,4,3,5,1,5,2,5,5,5,1
"10488",53,2,3,4,4,3,2,2,4,3,1,2,2,2,3,3,2
"10497",33,2,3,5,2,2,1,3,2,3,3,3,4,3,2,2,2
"10466",49,2,1,2,4,5,3,4,1,3,3,3,3,4,1,3,1
"10472",53,2,1,5,1,5,1,1,1,5,1,4,1,5,5,5,1
"10479",49,1,2,3,3,3,2,2,3,3,3,2,2,3,3,3,2
"10512",17,1,1,3,1,4,1,4,5,4,2,4,2,4,4,4,1
"10498",13,1,1,4,2,3,1,3,4,4,2,3,2,3,5,3,2
"10506",41,1,1,5,1,5,1,2,3,4,1,5,1,3,4,5,1
"10485",21,1,1,3,2,3,1,4,3,4,2,4,1,4,5,4,2
"10497",29,1,1,3,3,3,2,2,3,5,3,2,3,5,3,3,1
"10466",45,1,1,5,3,3,1,1,1,3,3,1,1,1,1,1,1
"10513",25,1,1,5,5,3,4,1,2,3,1,3,3,4,5,3,2
"10540",13,1,NA,4,5,4,3,2,NA,3,3,2,3,5,3,3,2
"10486",49,1,1,4,3,1,3,4,3,4,3,3,3,5,3,2,2
"10472",49,1,NA,5,5,5,1,1,NA,5,2,5,2,5,5,3,1
"10492",53,1,1,2,1,3,1,3,4,4,2,4,2,4,4,3,2
"10517",21,1,2,2,2,3,2,4,5,5,1,4,2,4,4,5,1
"10494",41,1,1,2,1,3,1,3,5,5,3,3,3,3,3,3,2
"10516",25,1,2,2,1,4,1,4,4,4,2,4,1,4,4,4,1
"10530",13,1,1,3,1,3,1,2,3,4,2,2,2,4,4,2,1
"10523",17,1,2,5,3,4,1,2,3,4,2,3,3,3,4,5,1
"10477",37,1,NA,4,2,3,2,3,NA,3,2,3,2,4,3,3,2
"10473",29,1,2,4,3,3,3,2,2,3,2,3,3,3,2,2,2
"10515",9,1,2,2,1,2,1,3,3,4,4,4,2,5,4,3,1
"10516",21,7,2,4,3,5,1,2,3,3,3,4,3,4,3,3,1
"10472",45,7,1,5,5,5,1,1,1,5,1,5,1,5,5,5,1
"10523",13,7,1,2,1,5,1,4,4,5,1,5,2,5,5,5,1
"10486",45,7,2,3,4,4,2,3,3,3,2,4,1,3,2,2,1
"10466",41,7,NA,5,5,5,3,1,NA,1,3,3,1,5,1,3,1
"10530",9,7,3,3,2,3,2,4,3,5,2,4,1,5,4,4,2
"10517",17,7,2,1,1,3,2,4,5,5,1,4,2,3,4,4,1
"10540",9,7,1,3,1,5,1,4,3,5,1,4,1,5,5,4,1
"10535",9,7,NA,4,4,5,2,1,NA,3,2,4,2,1,4,4,4
"10528",13,7,1,3,2,3,1,3,3,4,2,3,2,3,3,3,1
"10498",9,7,NA,5,2,2,1,1,NA,4,3,2,3,3,4,3,2
"10494",37,7,NA,5,1,3,3,1,NA,3,4,1,3,3,2,2,4
"10492",49,7,4,3,4,5,1,4,4,4,1,4,1,5,4,4,2
"10515",5,7,1,5,4,4,1,2,1,5,2,3,1,3,4,3,3
"10506",33,6,2,2,1,3,1,4,4,5,2,4,1,5,5,4,1
"10466",37,6,3,3,3,1,5,3,3,1,5,2,5,3,1,2,1
"10513",17,6,1,1,1,4,1,5,3,4,1,5,1,5,5,5,1
"10483",33,6,3,3,2,2,2,3,3,3,4,3,3,4,3,2,2
"10497",21,6,2,1,2,1,1,4,4,4,3,4,2,4,4,4,1
"10523",9,6,1,2,1,5,1,5,4,5,1,5,1,5,5,5,1
"10503",29,6,1,3,3,4,1,3,3,4,1,3,2,3,3,3,1
"10472",41,6,1,4,1,5,1,1,1,5,1,4,1,5,5,4,1
"10528",9,6,1,1,1,3,1,4,4,5,1,4,1,4,4,4,1
"10485",13,6,1,2,4,4,1,3,3,4,1,4,1,4,5,5,1
"10494",33,6,NA,5,1,3,2,1,NA,5,3,3,3,5,3,2,3
"10530",5,6,1,3,3,4,1,3,3,4,1,3,2,5,4,4,1
"10540",5,6,1,2,1,4,1,4,4,5,1,4,1,4,4,4,1
"10516",17,6,2,4,3,5,1,2,3,4,1,3,1,3,4,3,3
"10517",13,6,2,4,3,4,2,3,4,5,2,3,3,5,3,3,3
"10460",25,5,NA,4,4,5,1,1,NA,3,1,4,1,1,2,4,1
"10503",25,5,NA,5,5,5,1,1,NA,1,1,3,1,4,3,3,3
"10477",25,5,NA,3,3,4,2,3,NA,2,2,4,2,4,3,4,2
"10452",57,5,1,5,3,5,1,1,4,3,2,3,3,4,4,3,3
"10510",33,5,1,3,3,3,1,4,3,3,3,3,2,5,4,4,1
"10512",5,5,1,4,2,4,1,1,4,4,2,3,2,3,4,4,2
"10486",37,5,NA,1,5,5,1,2,NA,2,5,4,2,3,4,4,1
"10472",37,5,NA,5,3,5,1,1,NA,5,1,5,1,5,5,5,1
"10516",13,5,2,3,2,2,1,2,2,3,2,3,3,3,3,2,1
"10492",41,5,1,2,1,3,1,4,4,4,1,4,2,4,3,4,1
"10466",33,5,NA,5,4,5,1,1,NA,3,1,3,3,3,2,3,1
"10523",5,5,1,5,2,5,1,2,3,3,2,4,1,4,4,4,2
"10513",13,5,2,5,3,3,3,2,3,3,1,3,3,3,3,3,4
"10494",29,5,1,5,3,5,1,3,5,5,1,3,1,3,3,3,1
"10490",57,5,1,2,3,3,1,3,3,3,2,3,1,3,3,3,1
"10528",5,5,1,5,2,3,1,1,3,4,3,3,3,4,3,2,1
"10485",9,5,1,4,2,5,1,3,4,4,1,5,1,5,5,4,2
"10473",17,5,2,3,2,4,2,4,4,5,2,4,2,4,3,4,2
"10497",17,5,1,3,3,1,1,4,3,3,4,3,2,3,5,4,1
"10517",9,5,NA,5,4,2,5,1,NA,3,4,2,5,3,1,2,5
"10513",9,4,2,4,1,3,2,3,3,4,2,3,3,3,3,3,3
"10494",25,4,1,2,1,4,1,4,4,3,2,5,2,5,4,5,1
"10460",21,4,1,3,2,4,1,3,3,4,2,3,2,3,3,3,3
"10503",21,4,3,5,4,4,1,2,2,2,2,2,2,3,3,3,1
"10453",37,4,1,4,2,2,1,2,2,4,3,4,3,3,4,3,1
"10463",29,4,1,2,1,5,1,3,4,5,1,4,1,5,5,4,1
"10473",13,4,2,4,2,2,3,2,3,4,2,2,3,4,2,2,2
"10488",33,4,3,4,4,3,2,3,3,3,3,4,2,3,3,3,2
"10452",53,4,1,3,2,5,1,2,3,5,2,3,2,5,4,4,1
"10492",37,4,1,1,2,3,1,5,4,4,2,4,1,5,4,4,1
"10472",33,4,NA,2,1,5,1,1,NA,5,1,5,1,5,5,5,1
"10486",33,4,1,4,1,1,4,2,2,3,5,2,5,2,1,2,5
"10510",29,4,1,1,1,3,1,3,3,2,3,3,2,4,2,4,1
"10479",33,4,2,4,5,3,1,3,3,3,2,2,1,3,3,3,1
"10466",29,4,2,3,3,4,1,4,2,3,2,3,2,3,1,3,1
"10490",53,4,NA,3,3,3,2,3,NA,3,2,3,2,3,3,3,1
"10517",5,4,3,4,4,4,1,3,4,4,2,4,3,3,3,4,2
"10493",57,4,2,4,3,3,3,2,4,5,3,2,4,4,3,1,1
"10524",25,4,2,4,5,4,1,3,4,4,2,4,1,4,4,4,1
"10473",9,3,2,4,3,3,2,2,3,4,2,3,3,3,2,2,2
"10488",29,3,4,4,4,4,3,2,3,3,3,2,3,3,3,3,3
"10497",9,3,2,4,4,2,2,2,4,2,4,3,2,2,2,3,2
"10506",21,3,3,3,5,3,1,3,3,4,3,4,1,3,5,4,2
"10493",53,3,5,2,5,5,3,2,1,5,1,1,3,5,5,1,1
"10503",17,3,NA,5,5,4,1,1,NA,1,3,2,2,5,3,3,1
"10524",21,3,2,3,4,4,1,4,4,4,1,4,1,4,4,4,1
"10513",5,3,3,4,3,3,1,4,4,3,2,3,2,4,4,3,2
"10490",49,3,1,3,2,3,1,2,3,3,2,3,2,3,4,3,1
"10479",29,3,2,3,5,4,1,3,4,3,2,3,1,3,4,3,2
"10483",21,3,3,3,3,3,1,3,3,3,3,3,2,3,4,3,2
"10494",21,3,NA,5,2,3,1,1,NA,3,3,3,2,5,3,3,1
"10477",17,3,1,3,2,3,1,3,4,3,2,4,1,4,4,4,2
"10472",29,3,NA,5,1,4,1,1,NA,5,1,5,1,5,5,5,1
"10447",49,3,1,5,1,2,1,1,5,5,5,3,3,5,4,3,1
"10453",33,3,2,2,2,4,1,4,4,4,2,4,2,4,5,5,1
"10452",49,3,1,5,2,5,1,3,3,5,1,3,1,5,4,3,1
"10486",29,3,1,2,1,3,1,5,4,4,1,5,1,2,4,3,1
"10466",25,3,1,3,3,2,2,2,2,3,2,2,2,2,3,2,2
"10516",5,3,1,4,4,4,2,2,3,3,1,3,2,4,4,3,1
"10473",5,2,2,3,4,3,2,3,4,4,2,4,3,4,2,3,2
"10463",21,2,1,1,1,5,1,5,5,5,1,4,1,5,5,4,1
"10460",13,2,1,3,2,4,1,4,4,3,2,4,1,4,3,4,1
"10477",13,2,NA,4,3,2,3,2,NA,3,4,2,3,3,2,2,2
"10506",17,2,2,4,5,3,1,2,3,3,3,4,2,2,4,3,3
"10466",21,2,2,5,3,3,1,1,3,3,2,3,1,3,3,3,2
"10449",57,2,1,2,3,5,2,4,4,4,2,4,2,3,4,3,2
"10494",17,2,1,5,1,5,1,1,3,5,1,3,1,5,4,4,1
"10510",21,2,3,2,2,3,1,3,3,4,2,4,1,4,2,3,1
"10452",45,2,1,4,1,5,1,2,3,5,1,4,2,3,4,4,1
"10465",45,2,2,3,2,5,1,3,4,4,1,4,1,4,4,4,1
"10490",45,2,2,2,3,3,2,3,4,3,3,3,2,3,3,3,1
"10492",29,2,1,3,1,3,1,4,4,4,2,4,2,4,4,4,1
"10503",13,2,1,4,2,3,1,3,2,4,2,3,1,4,3,3,2
"10486",25,2,1,3,1,3,3,4,3,3,4,2,4,3,2,1,1
"10488",25,2,2,4,2,3,2,1,3,4,3,2,4,2,3,2,2
"10472",25,2,1,3,1,3,1,4,1,5,1,3,1,5,5,4,1
"10479",25,2,2,2,3,4,1,3,3,5,3,3,2,3,4,2,1
"10524",17,2,2,3,4,3,1,4,3,4,3,4,1,4,4,4,1
"10497",5,2,1,2,3,2,1,4,4,3,3,3,2,5,3,4,1
"10493",49,2,1,1,1,2,1,5,5,5,2,3,1,4,4,4,1
"10459",53,2,1,3,3,4,3,1,5,5,2,3,3,3,3,3,2
"10448",57,2,1,3,3,3,1,3,4,5,3,4,2,4,3,4,2
"10493",45,1,1,5,4,5,1,3,4,5,1,2,1,5,3,4,1
"10460",9,1,1,3,1,2,2,2,3,4,4,2,3,3,3,3,2
"10463",17,1,NA,5,3,3,2,1,NA,5,3,2,4,5,5,1,3
"10510",17,1,1,3,3,3,1,3,3,4,3,3,1,4,3,3,1
"10465",41,1,2,1,1,5,1,4,4,4,1,4,1,4,4,4,1
"10492",25,1,2,2,2,3,1,4,4,4,2,4,3,3,4,3,1
"10494",13,1,NA,4,3,2,2,1,NA,3,3,3,3,3,3,3,1
"10448",53,1,1,4,2,3,1,2,4,4,2,3,2,4,3,3,2
"10483",13,1,2,2,4,4,2,2,3,3,2,3,2,4,4,3,2
"10488",21,1,3,3,3,2,3,1,2,4,4,2,2,3,4,2,3
"10479",21,1,1,4,5,3,1,2,3,3,2,3,1,4,3,3,1
"10445",57,1,1,5,1,3,1,1,5,5,2,4,2,5,4,4,2
"10466",17,1,1,3,2,1,1,3,4,3,5,1,4,3,1,2,1
"10486",21,1,NA,5,1,3,1,3,2,3,4,4,2,2,4,4,1
"10477",9,1,1,4,3,3,1,2,3,2,2,3,2,4,4,4,1
"10452",41,1,1,5,2,5,1,1,2,3,1,3,3,5,4,4,1
"10449",53,1,2,1,3,5,1,4,4,4,1,4,2,5,4,4,1
"10490",41,1,2,2,3,3,1,3,3,3,2,3,2,3,4,3,2
"10453",25,1,NA,4,2,3,1,3,NA,3,2,4,2,4,4,3,2
"10524",13,1,3,5,2,2,4,3,3,4,4,2,4,4,2,2,2
"10472",21,1,NA,5,1,3,1,1,NA,4,1,4,2,5,5,3,1
"10475",41,7,1,2,5,5,2,4,4,3,2,4,2,5,3,4,1
"10445",53,7,3,2,3,3,2,3,4,4,2,4,2,4,3,4,1
"10477",5,7,1,3,2,4,1,3,3,3,1,3,1,4,3,4,2
"10463",13,7,1,1,1,5,1,5,4,5,1,5,1,5,5,5,1
"10503",5,7,NA,5,5,5,1,1,NA,1,1,3,1,1,3,3,1
"10490",37,7,NA,4,3,3,1,2,NA,3,1,3,1,3,2,3,1
"10494",9,7,1,3,3,2,4,3,3,3,3,2,3,3,3,2,1
"10488",17,7,1,5,5,5,3,1,3,1,5,2,1,3,3,3,4
"10510",13,7,2,2,2,4,1,3,3,4,2,4,1,4,4,4,1
"10454",49,7,NA,2,2,3,1,1,NA,3,3,3,1,3,3,3,1
"10448",49,7,1,1,3,3,1,4,4,4,1,4,2,4,4,4,1
"10480",41,7,2,2,2,4,2,5,4,4,1,4,3,4,4,4,1
"10450",53,7,1,4,3,3,2,3,4,2,2,4,2,4,5,5,1
"10466",13,7,1,3,4,3,3,3,4,3,3,3,1,4,1,3,1
"10447",37,7,NA,5,2,4,1,2,NA,5,3,3,2,5,5,4,1
"10460",5,7,1,4,2,5,1,3,5,4,2,3,2,4,3,3,2
"10493",41,7,3,1,5,3,1,5,3,5,1,3,3,5,2,2,2
"10524",9,7,2,3,2,4,2,3,3,4,3,4,2,4,4,4,2
"10472",17,7,1,5,3,3,1,3,1,4,2,4,1,4,4,3,1
"10486",17,7,1,4,3,3,2,3,3,2,3,3,2,3,3,4,1
"10494",5,6,1,4,2,3,1,3,4,4,1,3,1,3,5,4,1
"10490",33,6,NA,5,3,3,1,1,NA,3,2,1,2,3,2,3,1
"10450",49,6,NA,4,5,5,1,1,NA,3,1,5,2,5,5,5,1
"10453",17,6,NA,4,3,4,2,2,NA,2,2,3,2,4,4,4,1
"10492",17,6,1,1,4,3,2,5,4,4,3,4,2,2,4,4,1
"10452",33,6,NA,5,1,3,1,1,NA,3,1,4,NA,5,5,4,1
"10448",45,6,NA,5,4,3,1,1,NA,4,3,3,2,4,4,3,3
"10483",5,6,1,3,2,2,1,3,3,4,4,4,2,4,5,3,2
"10493",37,6,1,1,1,5,1,5,5,5,1,5,2,5,4,5,1
"10475",37,6,1,2,2,4,1,4,4,4,4,5,1,5,5,5,1
"10486",13,6,1,4,5,4,1,3,3,4,2,3,2,4,4,3,2
"10438",57,6,1,4,1,5,1,4,5,5,2,5,1,5,4,4,3
"10472",13,6,1,1,1,5,1,5,3,5,1,5,1,5,5,5,1
"10466",9,6,NA,4,2,2,2,1,NA,4,3,2,2,5,3,2,1
"10445",45,5,1,1,4,4,1,4,5,5,1,5,1,5,5,5,1
"10465",29,5,NA,5,2,5,1,1,NA,4,1,4,2,4,4,4,1
"10447",29,5,1,5,1,4,1,2,5,5,2,5,1,5,5,5,1
"10510",5,5,1,3,2,3,2,4,3,4,3,4,3,4,4,4,2
"10397",57,5,2,3,2,3,2,3,4,4,2,3,3,4,3,3,2
"10459",37,5,NA,2,3,1,3,1,NA,3,5,1,5,5,1,1,3
"10472",9,5,1,3,1,5,1,3,1,5,1,5,1,5,5,5,1
"10448",41,5,1,5,2,3,1,1,4,4,3,3,2,4,3,3,2
"10438",53,5,NA,4,1,4,2,2,NA,5,1,3,2,4,4,4,3
"10492",13,5,2,2,2,2,1,3,4,4,3,3,3,4,3,3,1
"10453",13,5,NA,5,2,4,1,2,NA,3,1,4,3,4,4,4,3
"10486",9,5,2,1,1,2,1,3,4,3,1,4,2,3,3,5,2
"10488",9,5,3,4,3,3,3,2,3,5,2,3,3,3,4,2,4
"10479",9,5,2,3,2,3,2,4,4,3,2,4,2,4,4,4,1
"10452",29,5,1,5,2,5,1,2,1,5,1,5,2,5,5,4,1
"10490",29,5,2,2,3,3,1,4,3,3,1,3,1,3,2,3,2
"10449",41,5,1,2,1,5,1,4,4,5,1,4,2,4,4,5,1
"10466",5,5,1,4,2,3,2,4,3,5,1,3,4,4,2,2,1
"10432",57,5,1,3,3,5,1,4,4,5,1,4,1,5,5,5,1
"10493",33,5,NA,5,5,5,1,1,NA,1,3,2,3,5,4,2,1
"10472",5,4,NA,2,1,3,1,1,NA,5,3,4,2,5,5,3,1
"10445",41,4,1,5,3,3,2,3,5,5,2,3,3,5,4,3,3
"10437",57,4,2,3,2,4,1,3,4,3,2,3,2,4,4,4,3
"10397",53,4,NA,5,2,4,1,1,NA,5,2,2,4,5,3,2,1
"10490",25,4,1,2,3,3,1,3,4,4,1,4,1,4,2,3,1
"10480",29,4,NA,5,1,2,1,3,NA,3,4,2,3,2,3,3,4
"10452",25,4,1,3,1,5,1,3,2,5,1,4,2,5,5,5,1
"10438",49,4,NA,5,3,5,1,3,NA,4,1,4,1,5,4,4,2
