"esm.IDnum.w4","esm.PRO01.w4","esm.PRO03.w4","esm.PRO04.w4","esm.PRO05.w4","esm.BFI37.w4","esm.BFI21.w4","esm.BFI23.w4","esm.BFI09.w4","esm.BFI04.w4","esm.BFI36.w4","esm.BFI32.w4","esm.BFI13.w4","esm.BFI19.w4"
15669,2,2,1,2,1,1,3,5,1,5,3,4,1
15669,2,4,1,4,2,3,4,3,2,3,3,3,3
95555,1,2,1,2,1,5,NA,4,1,1,3,5,3
22652,44,1,1,0,1,3,1,3,3,3,3,5,2
22652,44,1,1,1,1,3,1,2,3,3,2,4,2
22652,44,2,1,2,1,1,1,1,3,2,3,5,3
22652,44,3,1,3,2,5,1,3,2,2,3,5,3
22652,44,1,2,5,NA,3,5,4,2,1,NA,2,3
22652,44,3,2,7,1,2,1,3,2,3,4,4,1
22652,44,1,3,9,1,3,1,4,2,4,3,5,1
22652,44,2,3,10,1,2,2,4,2,3,4,4,2
22652,44,3,3,11,1,4,2,3,3,2,3,4,2
22652,44,4,3,12,2,1,2,3,2,3,4,4,3
22652,44,1,4,13,2,3,3,3,2,2,2,3,3
22652,44,2,4,14,NA,5,1,3,2,1,NA,5,2
22652,44,3,4,15,NA,5,2,2,2,2,NA,2,3
22652,44,1,5,17,1,4,1,3,2,3,3,4,3
22652,44,2,5,18,1,4,3,2,2,1,2,2,3
22652,44,3,5,19,1,3,1,2,1,3,3,5,2
22652,44,4,5,20,1,2,1,4,1,5,3,4,2
22652,44,1,6,21,1,2,3,3,2,4,3,3,3
22652,44,2,6,22,1,4,3,3,2,3,3,3,3
22652,44,3,6,23,NA,5,3,3,3,2,NA,2,4
22652,44,4,6,24,NA,5,2,3,3,1,NA,3,3
22652,44,1,7,25,2,2,1,3,3,2,3,4,3
22652,44,2,7,26,1,5,1,4,2,1,3,4,2
22652,44,3,7,27,NA,5,1,3,2,3,NA,5,2
22652,44,1,8,29,1,2,2,3,3,4,3,3,2
22652,44,2,8,30,NA,5,4,2,2,1,NA,2,4
22652,44,3,8,31,1,3,3,3,3,3,3,3,3
22652,44,1,9,33,2,4,1,3,2,1,2,5,2
22652,44,2,9,34,1,1,1,3,3,4,3,5,4
22652,44,1,10,37,1,5,2,5,2,1,2,5,1
22652,44,3,10,39,1,5,1,2,2,2,4,5,3
22652,44,1,11,41,NA,5,1,3,2,1,NA,4,2
22652,44,2,11,42,1,5,3,5,2,3,3,4,2
22652,44,4,11,44,2,5,1,2,1,2,3,5,4
22652,44,1,12,45,1,4,1,4,3,3,3,4,3
22652,44,2,12,46,1,5,1,2,5,1,2,5,4
22652,44,3,12,47,2,1,1,3,1,4,3,5,2
22652,44,4,12,48,2,1,1,3,4,3,3,5,4
22652,44,1,13,49,3,5,1,2,2,2,2,5,3
22652,44,2,13,50,2,5,1,2,3,2,2,5,4
22652,44,3,13,51,1,5,1,1,3,1,2,5,3
22652,44,1,14,53,NA,2,1,3,3,2,NA,5,3
22652,44,1,15,57,1,2,1,1,1,3,3,5,2
22652,44,2,15,58,1,1,1,3,2,5,4,5,3
9006,170,2,1,2,2,1,1,4,1,4,3,5,2
9006,170,2,3,10,1,3,3,3,2,3,4,5,2
9006,170,3,3,11,1,2,1,2,1,4,5,5,3
9006,170,4,3,12,1,4,1,2,2,2,1,4,1
9006,170,2,4,14,1,3,1,3,2,3,2,4,3
9006,170,3,4,15,NA,5,3,4,1,2,NA,4,1
9006,170,4,4,16,NA,5,5,5,1,1,NA,1,1
9006,170,1,5,17,1,3,3,3,1,4,5,4,1
9006,170,2,5,18,1,4,5,4,2,3,4,2,3
9006,170,3,5,19,1,2,3,3,1,5,4,5,1
9006,170,4,5,20,NA,5,1,4,1,1,NA,4,2
9006,170,1,6,21,2,2,1,5,1,5,4,5,1
9006,170,2,6,22,1,2,1,3,1,5,4,5,3
9006,170,3,6,23,NA,1,4,4,1,5,NA,5,1
9006,170,4,6,24,2,1,1,3,1,5,2,3,2
9006,170,1,7,25,1,3,2,4,2,3,2,5,2
9006,170,2,7,26,1,4,3,4,1,2,1,5,2
9006,170,3,7,27,1,1,1,3,1,5,3,5,2
9006,170,4,7,28,1,3,4,2,4,3,1,3,4
9006,170,1,8,29,1,2,2,4,1,5,3,5,2
9006,170,2,8,30,1,5,1,5,1,1,1,5,1
9006,170,3,8,31,1,1,1,4,1,4,1,4,1
9006,170,4,8,32,2,1,1,4,1,5,3,3,2
9006,170,1,9,33,2,1,3,4,1,5,3,5,1
9006,170,2,9,34,1,4,1,4,1,2,3,5,1
9006,170,3,9,35,1,1,2,4,1,5,3,3,2
9006,170,4,9,36,1,5,1,4,1,3,5,5,2
9006,170,1,10,37,1,2,2,4,2,2,4,5,2
