"esm.IDnum.w7","esm.PRO01.w7","esm.PRO03.w7","esm.PRO04.w7","esm.PRO05.w7","esm.BFI37.w7","esm.BFI21.w7","esm.BFI23.w7","esm.BFI09.w7","esm.BFI04.w7","esm.BFI36.w7","esm.BFI32.w7","esm.BFI13.w7","esm.BFI19.w7"
68714,27,4,6,24,1,2,2,5,1,3,5,5,2
68714,27,1,7,25,2,3,3,2,2,3,4,4,3
68714,27,4,7,28,2,4,2,3,3,2,4,3,5
68714,27,1,8,29,1,3,2,3,2,2,4,3,3
68714,27,1,9,33,2,4,2,2,2,2,4,3,3
68714,27,1,10,37,1,2,1,4,1,3,5,4,2
68714,27,4,10,40,NA,5,2,4,2,1,NA,4,1
68714,27,1,11,41,1,2,1,3,1,4,3,3,3
68714,27,4,11,44,1,4,2,5,1,3,5,5,1
68714,27,1,12,45,1,3,2,5,1,3,5,4,1
68714,27,4,12,48,1,5,3,4,1,1,5,4,2
68714,27,1,13,49,1,4,2,4,1,2,5,4,2
68714,27,4,13,52,1,3,2,4,1,3,5,4,4
68714,27,1,14,53,1,3,1,3,1,4,5,5,2
68714,27,4,14,56,2,4,2,2,4,1,2,2,3
68714,27,1,15,57,2,4,3,3,1,4,3,3,2
20707,10,1,1,1,2,3,2,4,1,4,4,4,2
20707,10,4,1,4,2,3,3,3,2,4,3,3,2
20707,10,4,2,8,2,3,3,4,2,3,3,3,3
20707,10,1,3,9,2,3,3,4,2,4,3,4,3
20707,10,4,3,12,NA,2,2,3,2,4,NA,4,2
20707,10,1,4,13,2,2,2,2,2,3,4,4,3
20707,10,1,6,21,2,4,3,3,2,2,3,3,3
20707,10,4,6,24,2,3,2,3,2,3,3,4,3
20707,10,4,7,28,2,2,2,4,2,4,3,3,2
20707,10,1,8,29,2,3,2,3,2,2,3,4,3
35850,28,1,1,0,3,2,1,3,1,2,2,3,3
35850,28,1,1,1,NA,3,2,5,1,3,NA,4,1
35850,28,4,1,4,1,2,2,5,1,5,4,5,1
35850,28,1,2,5,1,2,1,3,1,4,4,5,2
35850,28,4,3,12,NA,2,1,3,1,4,NA,3,2
35850,28,1,4,13,1,3,1,3,1,4,3,4,1
35850,28,4,4,16,NA,3,2,3,1,3,NA,4,1
35850,28,1,5,17,NA,3,1,5,1,2,NA,5,1
35850,28,4,5,20,1,2,1,3,1,4,4,4,1
35850,28,1,6,21,1,3,1,3,1,4,3,4,1
35850,28,4,6,24,1,3,1,1,2,3,3,5,1
35850,28,1,7,25,1,3,1,2,1,4,3,4,1
35850,28,4,7,28,1,2,1,1,1,4,4,5,3
35850,28,4,8,32,NA,3,2,5,1,3,NA,4,1
35850,28,4,9,36,1,3,1,1,1,2,3,3,3
35850,28,4,10,40,NA,4,1,4,1,3,NA,5,1
35850,28,1,11,41,1,3,1,5,1,5,4,5,1
35850,28,1,12,45,1,1,1,5,1,5,4,4,1
35850,28,4,12,48,NA,3,1,4,1,4,NA,5,1
35850,28,1,13,49,1,3,1,4,1,4,4,5,1
35850,28,4,13,52,1,3,1,3,1,3,2,4,1
35850,28,1,14,53,1,4,1,3,2,2,3,4,1
35850,28,4,14,56,NA,3,2,5,1,3,NA,5,1
35850,28,4,15,60,1,1,1,5,1,5,4,5,1
35850,28,4,16,64,1,1,1,3,1,4,4,5,1
35850,28,1,17,65,NA,4,3,5,1,2,NA,4,1
35850,28,4,17,68,NA,4,1,5,1,3,NA,4,1
35850,28,1,18,69,NA,3,1,5,1,3,NA,5,1
87519,6,1,1,0,3,5,2,2,1,1,2,5,3
87519,6,1,1,1,1,3,1,2,1,3,2,5,5
87519,6,4,1,4,2,3,1,5,1,5,3,2,1
87519,6,4,2,8,3,2,2,2,1,3,2,2,1
87519,6,4,4,16,3,1,4,1,1,2,5,3,3
87519,6,1,5,17,1,5,1,2,3,2,4,5,4
21701,23,1,1,1,4,2,2,4,1,3,2,3,2
21701,23,4,1,4,1,4,2,2,1,2,2,2,3
21701,23,1,2,5,2,4,2,3,1,2,2,2,3
21701,23,4,2,8,NA,4,2,2,1,1,NA,2,4
21701,23,1,3,9,1,3,2,3,1,3,4,3,2
21701,23,4,3,12,2,2,5,4,1,5,4,3,1
21701,23,1,4,13,1,2,3,4,1,5,3,3,1
21701,23,4,4,16,2,2,3,2,1,4,3,3,2
21701,23,1,5,17,1,2,3,2,2,3,5,3,2
21701,23,4,5,20,2,2,5,4,2,4,3,3,1
21701,23,4,6,24,2,1,1,3,1,4,4,3,1
21701,23,1,7,25,1,3,2,3,1,2,3,3,1
21701,23,4,7,28,2,1,1,3,1,3,3,4,1
21701,23,1,8,29,1,5,3,3,1,1,1,3,2
21701,23,4,8,32,1,2,4,3,2,3,3,3,2
21701,23,1,9,33,1,3,2,2,1,2,3,3,3
21701,23,1,10,37,1,3,2,2,1,3,3,3,2
21701,23,4,10,40,1,4,3,4,2,1,2,2,2
21701,23,1,11,41,1,4,4,2,1,3,4,3,3
21701,23,4,13,52,NA,5,5,4,2,1,NA,2,2
21701,23,1,14,53,1,3,4,3,1,2,2,3,3
21701,23,4,14,56,2,1,2,3,1,4,4,4,1
21701,23,1,15,57,1,5,1,2,1,1,1,2,3
59057,19,1,1,0,2,3,3,3,2,4,1,NA,2
59057,19,4,1,4,2,3,3,3,2,3,3,5,1
59057,19,1,2,5,1,1,1,4,1,5,4,4,1
59057,19,4,2,8,1,4,4,5,2,3,3,3,2
59057,19,1,3,9,2,5,1,2,3,1,4,4,3
59057,19,1,4,13,1,3,4,5,1,3,4,4,2
59057,19,4,4,16,1,3,5,5,1,4,4,3,1
59057,19,1,5,17,1,1,3,5,1,5,5,5,1
59057,19,4,5,20,1,1,1,5,1,5,5,5,1
59057,19,1,6,21,2,3,3,4,2,3,4,4,1
