"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","beepvar3","SID2","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp"
"10123",34,1,1,1,1,2,3,2,1,3,3,4,3,1,88,1.5625,2.76470588235294,2.61764705882353,2.61764705882353,1.55882352941176,2.91176470588235,3.45161290322581,3.76470588235294,3.23529411764706
"10129",49,1,1,1,1,4,2,3,2,2,2,2,2,1,94,2,3.6530612244898,2.95918367346939,3.02040816326531,2.53061224489796,2.55102040816327,3.475,3.55102040816327,3.26530612244898
"10132",16,1,1,1,1,5,2,5,1,1,3.2,3,1,1,97,1,3,1.875,3.75,1.375,2.375,3.2,3.375,2.375
"10132",16,1,1,1,1,5,1,5,1,1,3,5,2,2,97,1,3,1.875,3.75,1.375,2.375,3.2,3.375,2.375
"10134",23,1,1,1,1,4,2,3,1,2,3,4,1,1,99,1.125,4.34782608695652,3.1304347826087,3,1.82608695652174,1.56521739130435,3.625,3.17391304347826,2.43478260869565
"10139",21,1,1,1,1,3,2,2,1,4,3,4,2,1,103,1,1.95238095238095,1.57142857142857,3.23809523809524,1,3.47619047619048,3.42857142857143,3.80952380952381,2.66666666666667
"10141",37,1,1,1,1,2,1,5,1,5,2,5,1,1,104,1,2.67567567567568,1.7027027027027,4.13513513513514,1.02702702702703,3.86486486486486,4.14285714285714,4.89189189189189,1.24324324324324
"10143",46,1,1,1,1,4,3,4,2,3,4,2,2,1,105,2.025,3.58695652173913,2.78260869565217,3.47826086956522,2.19565217391304,2.76086956521739,3.3,3.1304347826087,2.52173913043478
"10144",38,1,1,1,2,3,1,3,1,5,3,5,3,1,106,2.08823529411765,3.07894736842105,2.07894736842105,3.31578947368421,1.28947368421053,2.89473684210526,3.11764705882353,4.31578947368421,2.31578947368421
"10148",19,1,1,1,1,4,1,2,1,3,4,5,1,1,109,1,3.57894736842105,2.63157894736842,4,1.47368421052632,2.42105263157895,3.33333333333333,3.63157894736842,1.47368421052632
"10153",54,1,1,1,1,3,2,4,4,4,3,4,2,1,113,1.11428571428571,3.85185185185185,2.38888888888889,3.46296296296296,2.77777777777778,1.77777777777778,3.22857142857143,3.72222222222222,2.46296296296296
"10160",27,1,1,1,1,5,4,4,2,2,4,4,1,1,119,1.88461538461538,2.92592592592593,3.25925925925926,3.25925925925926,2.03703703703704,3.03703703703704,3.19230769230769,3.07407407407407,2.55555555555556
"10167",16,1,1,1,1,4,2,5,2,3,4,4,1,1,124,1.21333333333333,3.2,2.2,3.46666666666667,1.8,3.53333333333333,3.78666666666667,3.6,2.26666666666667
"10188",46,1,1,1,1,4,3,2,3,2,3,4,3,1,139,1.51219512195122,3.21739130434783,2.67391304347826,2.93478260869565,2.41304347826087,2.78260869565217,3.34146341463415,3.6304347826087,2.69565217391304
"10193",44,1,1,1,2,4,2,2,2,2,3,4,2,1,142,2.1969696969697,3.33333333333333,3.09090909090909,2.87878787878788,2.75757575757576,2.60606060606061,2.55477855477855,2.81818181818182,2.84848484848485
"10200",22,1,1,1,1,2,2,3,1,4,3,4,2,1,149,1,3.04545454545455,1.72727272727273,3.81818181818182,1.31818181818182,2.40909090909091,3.53333333333333,4.13636363636364,1.22727272727273
"10204",17,1,1,1,1,5,5,5,1,1,3,5,3,1,153,1.25,2.76470588235294,3.35294117647059,4.41176470588235,1.29411764705882,2.70588235294118,3.625,3.41176470588235,1.35294117647059
"10205",19,1,1,1,1,3,1,3,1,3,2,3,1,1,154,1,3.36842105263158,1.89473684210526,3.05263157894737,1,2.47368421052632,2.15384615384615,3.42105263157895,1.21052631578947
"10206",38,1,1,1,1,4,1,4,1,2,1,5,1,1,155,1.48387096774194,3.28947368421053,2.39473684210526,3.78947368421053,1.28947368421053,2.97368421052632,3.32258064516129,4.13157894736842,1.89473684210526
"10210",30,1,1,1,1,3,1,4,1,5,4,3,1,1,158,1.45454545454545,4.1,2.1,4.06666666666667,1.43333333333333,2.03333333333333,3.5,4.03333333333333,1.66666666666667
"10210",30,1,1,0,1,5,1,4,1,2,2,5,2,2,158,1.45454545454545,4.1,2.1,4.06666666666667,1.43333333333333,2.03333333333333,3.5,4.03333333333333,1.66666666666667
"10212",51,1,1,1,1,5,2,5,1,1,4,5,1,1,160,1.13793103448276,3.72549019607843,1.88235294117647,3.72549019607843,1.03921568627451,2.2156862745098,4.37931034482759,4.05882352941176,1.74509803921569
"10217",59,1,1,1,1,4,1,2,3,2,3,5,2,1,165,1.03507728894174,3.31034482758621,1.74137931034483,2.55172413793103,1.46551724137931,1.67241379310345,2.2627824019025,4.8448275862069,2.62068965517241
"10222",53,1,1,1,1.17142857142857,5,1,4,1,3,2.94285714285714,5,3,1,169,1.17142857142857,3.75471698113208,2.58490566037736,3.62264150943396,1.13207547169811,2.35849056603774,2.94285714285714,3.33962264150943,1.60377358490566
"10226",22,1,1,1,2,4,3,4,2,2,2,3,2,1,171,2.05263157894737,3.09090909090909,2.45454545454545,3,2.54545454545455,2.86363636363636,3.61111111111111,3.31818181818182,2.86363636363636
"10228",25,1,1,1,1,5,3,4,2,2,1,4,1,1,173,1.04347826086957,2.84,2.56,3.56,1.76,3.4,3.08695652173913,3.44,2.08
"10232",34,1,1,1,1,4,1,4,1,2,3,5,2,1,177,1.14718614718615,2.84848484848485,1.78787878787879,3.57575757575758,1.72727272727273,3.06060606060606,3.63203463203463,3.96969696969697,1.84848484848485
"10237",32,1,1,1,1,3,2,4,1,2,2,5,2,1,181,1.41666666666667,3.03125,2.53125,3.46875,1.875,2.4375,3.41666666666667,3.90625,2.21875
"10238",28,1,1,1,1,4,4,2,4,2,2,3,3,1,182,1.26086956521739,3.92857142857143,3.14285714285714,2.71428571428571,2.60714285714286,1.78571428571429,2.25,2.39285714285714,3.42857142857143
"10239",24,1,1,1,1,5,1,3,1,1,4,5,3,1,183,1.33333333333333,3.04166666666667,1.75,3.08333333333333,1.54166666666667,3.25,3.71428571428571,4.16666666666667,2.875
"10240",26,1,1,1,1,3,3,3,3,3,3,5,2,1,184,1.17391304347826,2.8,2.92,2.12,3.56,2.08,3.56521739130435,3.92,4.28
"10242",37,1,1,1,2,5,3,2,3,2,4,4,4,1,186,1.67857142857143,3.75675675675676,3.02702702702703,2.83783783783784,1.27027027027027,2.37837837837838,3.5,3.05405405405405,2.24324324324324
"10245",56,1,1,1,1,4,2,3,1,3,3,5,2,1,189,1.7906976744186,3.39285714285714,3.05357142857143,3.19642857142857,1.78571428571429,2.625,3.30232558139535,3.125,2.17857142857143
"10251",24,1,1,1,1,5,3,4,1,2,3,3,1,1,194,1.22727272727273,3.16666666666667,2.04166666666667,3.875,1,2.45833333333333,3.5,4.16666666666667,1.20833333333333
"10255",11,1,1,1,1,5,3,5,2,2,3,4,1,1,196,1.1,4.09090909090909,2.90909090909091,3.45454545454545,1.63636363636364,2.09090909090909,3,3.72727272727273,3.18181818181818
"10258",20,1,1,1,1,1,1,4,1,5,5,4,1,1,198,1,2.65,2.45,4.35,1.1,3.6,4.94117647058824,4.5,1.65
"10259",15,1,1,1,1,5,5,3,2,1,3,5,1,1,199,1,3.4,2.53333333333333,3.46666666666667,1.8,2.66666666666667,3.61538461538462,4.26666666666667,2.13333333333333
"10260",32,1,1,1,1,3,1,4,1,4,5,5,3,1,200,1.51612903225806,2.9375,2.25,4.78125,1.03125,3.34375,2.54838709677419,4.1875,1.84375
"10267",27,1,1,1,1,5,1,4,1,5,5,5,2,1,202,1.28,3.2962962962963,1.33333333333333,3.2962962962963,1.03703703703704,2.92592592592593,3.28,4.03703703703704,2.51851851851852
"10269",18,1,1,1,2.08333333333333,2,2,4,2,4,3.72727272727273,4,2,1,204,2.08333333333333,2.35294117647059,1.88235294117647,3.70588235294118,2,3.29411764705882,3.72727272727273,3.88235294117647,2
"10280",40,1,1,1,1,3,2,4,2,2,3,5,2,1,213,1.09677419354839,3.475,2.025,3.075,2.05,2.35,4,3.975,2.7
"10280",40,1,1,0,1,4,1,4,1,2,3,5,1,2,213,1.09677419354839,3.475,2.025,3.075,2.05,2.35,4,3.975,2.7
"10287",35,1,1,1,1,4,1,1,2,2,3,4,4,1,217,1,3.57142857142857,1.42857142857143,1.85714285714286,3.11428571428571,2.14285714285714,4.04,4.51428571428571,4.57142857142857
"10289",53,1,1,1,2,4,3,3,2,3,4,4,3,1,219,2.04,3,2.54716981132075,3.07547169811321,1.64150943396226,2.92452830188679,3.22,4.18867924528302,2.84905660377358
"10293",44,1,1,1,1,4,1,3,2,3,3,5,4,1,223,1.20512820512821,3.20454545454545,1.88636363636364,3.5,1.20454545454545,2.79545454545455,3.02564102564103,3.90909090909091,2.29545454545455
"10301",18,1,1,1,1,4,3,3,1,3,3,3,2,1,228,1.23076923076923,3.16666666666667,2.44444444444444,4.05555555555556,1.05555555555556,3.22222222222222,4,3.44444444444444,1.55555555555556
"10316",51,1,1,1,1,5,1,5,1,2,3,4,1,1,239,1.45454545454545,3.58823529411765,2.01960784313725,4,1.50980392156863,2.43137254901961,3.09090909090909,3.84313725490196,1.70588235294118
"10320",40,1,1,1,2,2,1,4,2,2,3,4,2,1,243,1.66666666666667,3.25,2.6,2.625,2.525,2.4,2.8,3.275,2.95
"10320",40,1,1,0,1,3,2,4,2,3,3,3,2,2,243,1.66666666666667,3.25,2.6,2.625,2.525,2.4,2.8,3.275,2.95
"10322",39,1,1,1,1,5,1,5,1,1,3,3,1,1,244,1.08333333333333,4.46153846153846,2.92307692307692,3.07692307692308,1.1025641025641,1.71794871794872,2.97222222222222,3.02564102564103,2.28205128205128
"10323",11,1,1,1,2,2,1,1,2,4,2,3,4,1,245,1.22222222222222,3.27272727272727,2.81818181818182,2.90909090909091,1.27272727272727,2.36363636363636,2.66666666666667,3.27272727272727,2.45454545454545
"10330",38,1,1,1,1,5,5,5,1,2,3,5,1,1,252,1.06224406224406,3.18918918918919,2.18918918918919,4.32432432432432,1.02702702702703,3.37837837837838,3.62653562653563,3.7027027027027,1.59459459459459
"10331",21,1,1,1,1.4,3,3,3,1,4,4,5,1,1,253,1.4,3.04761904761905,2.42857142857143,4.09523809523809,1.04761904761905,3.42857142857143,3.5,3.28571428571429,1.71428571428571
"10332",16,1,1,1,1,3,4,3,3,3,2,3,4,1,254,1.93333333333333,2.9375,2.8125,2.8125,2.375,2.875,2.66666666666667,3.1875,3.3125
"10338",54,1,1,1,1,4,2,3,1,3,4,5,2,1,259,1.34782608695652,3.12962962962963,3.05555555555556,3.38888888888889,1.77777777777778,2.74074074074074,2.41304347826087,3.85185185185185,2.38888888888889
"10365",54,1,1,1,1,5,1,4,2,3,3,5,3,1,280,1.20408163265306,3.55555555555556,2.12962962962963,3.85185185185185,1.33333333333333,2.57407407407407,3.59183673469388,4.09259259259259,2.55555555555556
"10367",52,1,1,1,1,5,2,2,1,2,4,4,4,1,282,1.05405405405405,4.40384615384615,2.07692307692308,3.07692307692308,1.55769230769231,1.55769230769231,4.24324324324324,3.86538461538462,2.69230769230769
"10380",42,1,1,1,1,5,3,4,1,1,3,4,2,1,292,1.21621621621622,3.64285714285714,2.54761904761905,3.52380952380952,1.5952380952381,2.4047619047619,2.7027027027027,2.95238095238095,2.14285714285714
"10381",21,1,1,1,1,5,5,4,1,1,4,5,2,1,293,1.4375,4,3,3.47619047619048,1.52380952380952,2.28571428571429,4.3125,4.14285714285714,2.33333333333333
"10389",44,1,1,1,1,5,1,4,1,1,4,5,3,1,299,1.55172413793103,3.5,2.63636363636364,2.86363636363636,1.61363636363636,2.15909090909091,2.48275862068966,3.54545454545455,2.97727272727273
"10390",24,1,1,1,1,2,1,4,1,5,3,4,2,1,300,1.04545454545455,2.58333333333333,1.5,3.625,1,3.33333333333333,2.59090909090909,3.95833333333333,1.66666666666667
"10391",14,1,1,1,1,5,2,4,4,2,4,4,4,1,301,1,3.21428571428571,2.07142857142857,3.78571428571429,2.07142857142857,3.07142857142857,4.41666666666667,3.85714285714286,2.71428571428571
"10398",12,1,1,1,1,2,1,4,1,4,4,4,1,1,306,1.28571428571429,3.5,2.5,3.41666666666667,1.58333333333333,2.5,3.85714285714286,3.5,2.33333333333333
"10413",38,1,1,1,1,2,2,5,1,4,4,4,1,1,315,1.17117117117117,3.13513513513514,2.02702702702703,3.86486486486486,1.08108108108108,3.05405405405405,4.48648648648649,4.02702702702703,2.05405405405405
"10414",41,1,1,1,2,4,2,5,1,3,3,4,1,1,316,1.45945945945946,3.58536585365854,2.8780487804878,3.53658536585366,2.14634146341463,2.68292682926829,3.64864864864865,3.53658536585366,2.39024390243902
"10415",52,1,1,1,1,3,1,4,1,3,3,5,1,1,317,1.28260869565217,2.69230769230769,2.42307692307692,3.28846153846154,1.25,2.84615384615385,3.32608695652174,4.07692307692308,1.53846153846154
"10418",44,1,1,1,1,3,2,3,1,1,2,4,2,1,319,1.09302325581395,3.11363636363636,1.81818181818182,3.11363636363636,1.63636363636364,2.54545454545455,3.76190476190476,3.90909090909091,2.34090909090909
"10429",48,1,1,1,1,5,1,3,1,1,5,4,3,1,326,1.23809523809524,3.60416666666667,1.875,3.6875,1.04166666666667,3.02083333333333,4.40476190476191,4.58333333333333,1.89583333333333
"10438",57,1,1,1,1,4,2,5,1,4,4,4,1,1,334,1.11764705882353,3.01754385964912,2.10526315789474,4.21052631578947,1.71929824561404,3.3859649122807,4.11764705882353,4.31578947368421,1.7719298245614
"10439",22,1,1,1,1.44444444444444,3,2,4,1,3,3.66666666666667,3,1,1,335,1.44444444444444,2.90909090909091,2.27272727272727,3.63636363636364,1.09090909090909,3.45454545454545,3.66666666666667,3.45454545454545,1.45454545454545
"10439",22,1,1,0,1,4,1,4,1,3,2,4,2,2,335,1.44444444444444,2.90909090909091,2.27272727272727,3.63636363636364,1.09090909090909,3.45454545454545,3.66666666666667,3.45454545454545,1.45454545454545
"10448",52,1,1,1,1,4,1,2,2,3,2,4,3,1,342,1.02311111111111,3.08,2.16,2.98,1.32,2.8,3.83511111111111,4.24,2.36
"10449",47,1,1,1,1,4,1,5,2,2,4,4,4,1,343,1.20512820512821,2.25531914893617,1.87234042553191,3.21276595744681,1.36170212765957,3.46808510638298,3.94871794871795,4.38297872340426,2
"10451",25,1,1,1,1,3,1,5,1,5,4,5,2,1,345,1.4,2.6,1.96,4.68,1.4,4.28,4.4,4.6,1.68
"10453",30,1,1,1,1,3,1,3,1,4,4,5,3,1,347,2.1304347826087,3.06666666666667,2.6,3.9,1.26666666666667,2.76666666666667,3.39130434782609,3.6,1.93333333333333
"10454",29,1,1,1,1,1,1,4,1,4,5,5,2,1,348,1.375,2.96551724137931,2.27586206896552,3.72413793103448,1.27586206896552,3.06896551724138,4.5,4.17241379310345,2.41379310344828
"10455",15,1,1,1,1,2,1,4,3,4,4.30769230769231,5,2,1,349,1.07142857142857,2.93333333333333,2.73333333333333,3.8,1.93333333333333,3.53333333333333,4.30769230769231,4.46666666666667,2.2
"10460",23,1,1,1,1,3,3,5,3,4,3,4,2,1,353,1.04545454545455,3,2.52173913043478,4,1.60869565217391,3.1304347826087,3.63636363636364,3.82608695652174,2.1304347826087
"10465",26,1,1,1,1,3,1,3,1,4,3,4,2,1,357,1.63636363636364,2.84615384615385,1.80769230769231,4.07692307692308,1,3.15384615384615,3.95454545454545,3.88461538461538,1.23076923076923
"10472",59,1,1,1,1,4,1,4,1,2,1,5,2,1,362,1.04347826086957,3.22033898305085,2.13559322033898,4.42372881355932,1,2.45762711864407,1.47826086956522,4.72881355932203,1.35593220338983
"10477",33,1,1,1,1,3,2,4,2,2,2,3,2,1,367,1.73684210526316,3.21875,2.59375,3.4375,1.90625,2.71875,3,2.9375,2.4375
"10481",17,1,1,1,1,4,3,3,1,2,2,4,2,1,370,1.92307692307692,3.23529411764706,2.94117647058824,3.05882352941176,1.05882352941176,2.41176470588235,2.46153846153846,2.76470588235294,2.47058823529412
"10492",32,1,1,1,1,4,2,4,1,2,3,4,2,1,378,1.22222222222222,2.65625,2.03125,3.375,1.09375,3.5625,3.81481481481481,3.71875,1.9375
"10493",47,1,1,1,1,5,1,2,1,2,3,5,4,1,379,1.5,3.25531914893617,2.72340425531915,3.72340425531915,1.34042553191489,2.95744680851064,3.6304347826087,4.53191489361702,1.87234042553191
"10496",11,1,1,1,1,5,3,5,1,2,1,1,1,1,382,1.11111111111111,4,2.63636363636364,3.90909090909091,1.18181818181818,2.09090909090909,2.55555555555556,3,2.18181818181818
"10503",27,1,1,1,1,4,3,4,2,1,2,4,1,1,386,1.15789473684211,3.81481481481481,3.33333333333333,3.92592592592593,1.07407407407407,2.25925925925926,2.73684210526316,2.74074074074074,1.37037037037037
"10506",20,1,1,1,1,5,2,5,1,2,3,4,1,1,387,1.57894736842105,3,3.1,3.5,1.15,3.25,3.57894736842105,4.1,2.1
"10511",17,1,1,0,1,2,4,4,2,5,3,3,2,1,391,1.375,2.64705882352941,2.52941176470588,3,2.11764705882353,3.82352941176471,3.8,3.17647058823529,2.41176470588235
"10513",41,1,1,1,1,5,5,3,2,3,3,4,1,1,393,1.65853658536585,3.21951219512195,2.82926829268293,3.80487804878049,2.31707317073171,3.78048780487805,3.95121951219512,4.17073170731707,2
"10515",46,1,1,1,1,3,1,4,1,4,4,5,1,1,394,1.45161290322581,3.8695652173913,3.10869565217391,3.47826086956522,1.06521739130435,2.30434782608696,2.93548387096774,3.82608695652174,1.8695652173913
"10516",31,1,1,1,1,4,4,5,1,2,2,3,2,1,395,1.96296296296296,3.35483870967742,2.16129032258065,3.58064516129032,1.09677419354839,2.7741935483871,2.92592592592593,3.67741935483871,2
"10518",13,1,1,1,1,5,4,4,3,1,5,5,3,1,397,1.5,3.53846153846154,3,3.84615384615385,1.69230769230769,2.84615384615385,4.6,4.30769230769231,2.15384615384615
"10526",36,1,1,1,1,3,3,4,2,3,3,3,2,1,402,1.66666666666667,3.44444444444444,2.86111111111111,3.52777777777778,1.77777777777778,2.88888888888889,3.2,3.38888888888889,2.19444444444444
"10528",44,1,1,1,2,5,2,4,1,2,3,4,1,1,403,1.2,3.06818181818182,2.25,3.25,1.36363636363636,2.84090909090909,3.325,3.5,1.63636363636364
"10530",55,1,1,1,1,4,1,4,1,3,1,5,1,1,405,1.72916666666667,3.47272727272727,2.41818181818182,3.65454545454545,1.52727272727273,2.81818181818182,2.91489361702128,4.07272727272727,1.89090909090909
"10535",41,1,1,1,1,5,2,4,2,2,3,4,2,1,408,1.36666666666667,3.46341463414634,2.70731707317073,3.63414634146341,1.82926829268293,2.4390243902439,2.83333333333333,3.21951219512195,2.09756097560976
"10549",17,1,1,1,1,3,4,4,2,3,3,4,1,1,420,1.6875,2.94117647058824,2.58823529411765,3.76470588235294,1.58823529411765,3.29411764705882,2.8125,3.64705882352941,1.64705882352941
"10550",16,1,1,1,1,5,3,4,1,1,1,3,1,1,421,1.42857142857143,2.625,2.5625,3.5,1,2.6875,2.5,2.8125,1.5
"1",40,2,1,2,1,5,2,4,1,3,3,3,2,2,1,1.0625,4.025,2.625,3.775,1.85,2.225,3.625,3.7,2.275
"4",32,2,1,2,1,3,3,5,1,3,3,5,1,2,3,1.66666666666667,2.375,2.8125,3.6875,1.8125,3.28125,3.2962962962963,3.5,1.9375
"5",47,2,1,1,1,1,2,4,2,4,4,4,1,1,4,1.82051282051282,2.80851063829787,2.27659574468085,2.91489361702128,1.68085106382979,3.14893617021277,3.82051282051282,3.76595744680851,3.02127659574468
"8",52,2,1,2,1,1,1,3,3,3,3,4,2,2,7,1,4.15384615384615,2.53846153846154,3.48076923076923,1.65384615384615,2.44230769230769,2.9,4,1.98076923076923
"22",27,2,1,1,1,5,2,4,2,3,2,4,2,1,15,1,3.55555555555556,1.92592592592593,3.44444444444444,1.62962962962963,3.2962962962963,4.21739130434783,4.59259259259259,2.14814814814815
"27",35,2,1,2,1,3,2,4,1,3,4,4,1,1,18,1.28125,2.45714285714286,2.2,3.82857142857143,1,2.88571428571429,2.70967741935484,4.42857142857143,1.22857142857143
"31",27,2,1,2,2,3,2,5,1,3,4,4,1,1,19,1.4375,2.7037037037037,2.11111111111111,4.33333333333333,1.07407407407407,2.85185185185185,3.75,3.62962962962963,1.07407407407407
"36",40,2,1,2,1,3,3,2,1,2,3,5,1,1,22,2.54285714285714,3.025,3.15,2.925,2.775,2.8,3.02857142857143,3.15,2.7
"36",40,2,1,1,1,2,3,3,2,3,1,3,1,2,22,2.54285714285714,3.025,3.15,2.925,2.775,2.8,3.02857142857143,3.15,2.7
"37",25,2,1,2,2,5,2,5,1,4,4,4,1,1,23,2,3.68,2.08,2.56,2.28,2.64,3.5,3.2,3.8
"41",24,2,1,2,2,1,3,4,1,4,4,3,2,2,25,1.41176470588235,2.625,2.08333333333333,4.04166666666667,1.54166666666667,2.83333333333333,3.70588235294118,3.5,2.125
"44",41,2,1,2,1,3,2,4,1,1,2,4,2,1,26,1.60975609756098,3.24390243902439,2.4390243902439,3.48780487804878,1.39024390243902,2.78048780487805,3.07317073170732,3.85365853658537,2.4390243902439
"45",44,2,1,2,1,4,2,3,1,3,3,4,3,1,27,1.675,2.93181818181818,2.54545454545455,3.18181818181818,2.02272727272727,3.02272727272727,3.63414634146341,3.88636363636364,2.81818181818182
