"","esm.IDnum.w1","esm.PRO01.w1","esm.PRO02.w1","esm.PRO03.w1","esm.startDateTime.w1","esm.PRO04.w1","esm.PRO05.w1","esm.PRO06.w1","esm.PRO07.w1","esm.endDateTime.w1","esm.OR.w1","esm.NQ11.w1","esm.NQ12.w1","esm.EXT.w1","esm.AGR.w1","esm.CON.w1","esm.NEU.w1","esm.NQ11+1.w1","esm.NQ12+1.w1","esm.EXT+1.w1","esm.AGR+1.w1","esm.CON+1.w1","esm.NEU+1.w1","esm.NQ01.w1","esm.BFI37.w1","esm.BFI21.w1","esm.BFI23.w1","esm.BFI09.w1","esm.NQ09.w1","esm.NQ07.w1","esm.BFI04.w1","esm.NQ33.w1","esm.BFI36.w1","esm.BFI32.w1","esm.BFI13.w1","esm.BFI19.w1","esm.BH01.w1","esm.BH02.w1","esm.ACT12.w1","esm.BH03.w1","esm.BH04.w1","esm.BH05.w1","esm.BH06.w1","esm.BH07.w1","esm.ACT13.w1","esm.ACT18.w1","esm.BH08.w1","esm.ACT06.w1","esm.ACT39.w1","esm.ST01.w1","esm.ST02.w1","esm.ST03.w1","esm.ST04.w1","esm.AGQ13.w1","esm.ST06.w1","esm.ST07.w1","esm.ST08.w1","esm.ST09.w1","esm.ST10.w1","esm.ST11.w1","esm.ST12.w1","esm.ST13.w1","esm.ST14.w1","esm.ST15.w1","esm.ST16.w1","esm.ST17.w1","esm.ST18.w1","esm.ST19.w1","esm.ST20.w1","esm.ST21.w1","esm.ST22.w1","esm.ST23.w1","esm.ST24.w1","esm.DY01.w1","esm.DY02.w1","esm.DY03.w1","esm.DY04.w1","esm.DY05.w1","esm.CESD01.w1","esm.CESD02.w1","esm.CESD03.w1","esm.CESD04.w1","esm.CESD05.w1","esm.CESD06.w1","esm.CESD07.w1","esm.CESD08.w1","esm.CESD09.w1","esm.CESD10.w1"
"21",10547,57,1,1,"12/11/13 13:07",6,21,3,0,"12/11/13 13:10","Studying for a final.",4,2,2,5,5,2,NA,NA,NA,NA,NA,NA,4,1,5,1,3,5,4,1,1,2,4,5,1,0,1,1,1,0,0,0,0,0,0,5,NA,2,4,3,0,1,5,5,4,5,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",10539,51,1,1,"12/11/13 12:58",7,25,3,0,"12/11/13 13:00","Studying for exams",2,4,2,NA,5,4,NA,NA,NA,NA,NA,NA,3,NA,4,2,2,2,2,4,3,2,NA,5,4,1,1,0,0,0,0,0,0,0,0,4,NA,5,3,1,0,0,5,3,1,3,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",10539,51,1,1,"12/10/13 13:20",6,21,2,0,"12/10/13 13:22","Studying and doing laundry",3,2,3,NA,4,3,NA,NA,NA,NA,NA,NA,3,NA,3,2,3,3,2,2,3,3,NA,4,3,1,1,1,0,0,0,0,0,0,0,3,NA,4,4,2,0,0,5,4,2,3,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",10541,20,1,1,"12/10/13 12:17",9,33,2,0,"12/10/13 12:18","Working in a science research lab.",3,1,3,4,5,3,NA,NA,NA,NA,NA,NA,3,1,4,1,3,3,2,1,2,3,3,4,2,0,1,0,0,0,0,0,0,0,0,2,1,3,3,1,0,1,5,2,3,3,2,0,0,3,1,NA,NA,5,5,2,5,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",10547,57,1,1,"12/10/13 12:04",5,17,2,0,"12/10/13 12:06","Studying for a final.",2,4,1,NA,5,5,NA,NA,NA,NA,NA,NA,5,NA,5,1,1,3,1,3,4,1,NA,4,4,0,1,1,0,0,0,0,0,0,0,5,NA,4,3,1,0,0,5,4,3,2,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",10536,25,1,1,"12/9/13 13:20",8,29,1,0,"12/9/13 13:23","Getting organized for finals",2,3,1,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,5,5,4,2,2,3,4,1,NA,2,2,1,0,0,1,0,0,0,0,1,0,2,NA,3,3,1,0,0,1,3,1,3,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",10539,51,1,1,"12/9/13 12:47",5,17,1,0,"12/9/13 12:48","Sleeping for a while, then checking my phone and eating dressed.",3,3,3,NA,4,3,NA,NA,NA,NA,NA,NA,5,NA,3,3,3,3,3,4,3,2,NA,5,3,1,0,1,1,0,0,0,0,0,0,3,NA,2,4,3,0,0,4,4,2,3,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",10544,17,1,1,"12/9/13 12:14",15,57,1,0,"12/9/13 12:15","Working at job",3,3,2,3,2,3,NA,NA,NA,NA,NA,NA,2,2,4,4,3,3,3,2,2,1,2,2,2,0,1,0,0,1,0,0,0,0,0,2,NA,2,4,3,0,1,2,3,2,4,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",10547,57,1,1,"12/9/13 12:00",4,13,1,0,"12/9/13 12:08","Making flash cards to study for an upcoming exam and drinking hot / Chocolate with friends.",4,1,3,5,5,3,NA,NA,NA,NA,NA,NA,5,1,3,2,3,5,4,1,1,3,5,5,3,0,1,1,0,0,0,0,0,0,0,5,4,1,5,4,0,1,5,5,5,2,4,0,0,3,1,NA,NA,5,5,3,2,4,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",10539,51,1,1,"12/8/13 12:56",4,13,7,1,"12/8/13 13:02","Sleeping then checking my phone",3,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,5,NA,5,5,4,3,3,2,3,1,NA,2,2,1,0,0,1,1,0,0,0,0,0,2,NA,2,3,3,1,0,2,2,2,4,5,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
