"SID","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","authentic","SE","Happy","Lonely","day","real_order","SID2"
"1",-0.0625,0.975,0.375,-0.775,-0.85,-1.225,-0.625,1.3,-0.275,0.9,0.15,-0.35,0.45,49,7,1
"1",NA,0.975,2.375,1.225,-0.85,-1.225,NA,1.3,-0.275,0.9,-2.85,-0.35,1.45,57,5,1
"1",-0.0625,0.975,2.375,-0.775,0.15,-1.225,-0.625,0.3,1.725,-0.1,0.15,0.65,1.45,53,4,1
"1",-0.0625,0.975,-1.625,-1.775,1.15,-1.225,0.375,-0.7,1.725,-0.1,-0.85,0.65,2.45,53,3,1
"1",-0.0625,-0.0250000000000004,0.375,-1.775,2.15,-1.225,-0.625,0.3,2.725,-1.1,0.15,-1.35,0.45,49,3,1
"1",-0.0625,-3.025,-1.625,1.225,-0.85,2.775,1.375,1.3,-1.275,-0.1,0.15,1.65,-1.55,29,2,1
"1",-0.0625,-1.025,-0.625,1.225,-0.85,0.775,0.375,-0.7,-1.275,-0.1,0.15,0.65,-0.55,49,2,1
"1",-0.0625,0.975,-1.625,0.225,0.15,-1.225,-0.625,0.3,1.725,-1.1,0.15,-0.35,1.45,25,1,1
"1",-0.0625,-2.025,-1.625,-0.775,-0.85,1.775,0.375,-0.7,1.725,-2.1,-1.85,-0.35,-0.55,41,1,1
"1",-0.0625,0.975,-0.625,0.225,0.15,-1.225,-0.625,-0.7,0.725,-2.1,-1.85,-1.35,-1.55,53,1,1
"1",-0.0625,0.975,-0.625,0.225,-0.85,-1.225,-0.625,-0.7,0.725,0.9,0.15,-0.35,2.45,37,7,1
"1",-0.0625,0.975,-1.625,0.225,-0.85,-1.225,0.375,0.3,-0.275,1.9,0.15,-0.35,-1.55,37,6,1
"1",-0.0625,-2.025,1.375,0.225,-0.85,1.775,-0.625,1.3,-1.275,-0.1,1.15,-0.35,-0.55,33,6,1
"1",NA,0.975,1.375,-2.775,2.15,-1.225,NA,-0.7,2.725,-1.1,1.15,-2.35,1.45,33,5,1
"1",-0.0625,-1.025,-1.625,-0.775,-0.85,1.775,0.375,0.3,0.725,1.9,1.15,-0.35,-1.55,29,5,1
"1",-0.0625,-2.025,-1.625,1.225,-0.85,2.775,1.375,0.3,-1.275,0.9,1.15,0.65,-1.55,41,5,1
"1",0.9375,-0.0250000000000004,1.375,1.225,-0.85,0.775,-1.625,-0.7,-1.275,-0.1,1.15,1.65,-1.55,29,4,1
"1",-0.0625,-0.0250000000000004,1.375,-1.775,1.15,-1.225,0.375,-0.7,0.725,-1.1,-0.85,-0.35,-0.55,25,4,1
"1",-0.0625,0.975,-0.625,-2.775,1.15,-1.225,-0.625,-0.7,1.725,-0.1,-0.85,-1.35,0.45,37,3,1
"1",-0.0625,0.975,-0.625,0.225,-0.85,0.775,-0.625,-0.7,-0.275,-1.1,-0.85,0.65,0.45,5,3,1
"1",-0.0625,-1.025,-0.625,1.225,-0.85,1.775,0.375,-0.7,-0.275,0.9,0.15,1.65,-1.55,21,3,1
"1",-0.0625,-0.0250000000000004,-0.625,0.225,-0.85,2.775,0.375,1.3,-1.275,0.9,0.15,1.65,-0.55,25,3,1
"1",NA,0.975,-1.625,-1.775,2.15,-1.225,NA,0.3,0.725,-1.1,-1.85,-0.35,2.45,21,2,1
"1",NA,0.975,1.375,1.225,0.15,-1.225,NA,0.3,-1.275,0.9,1.15,-0.35,1.45,33,2,1
"1",0.9375,-1.025,2.375,1.225,3.15,-0.225,0.375,0.3,0.725,0.9,1.15,-0.35,-1.55,17,2,1
"1",-0.0625,-0.0250000000000004,2.375,-0.775,2.15,-0.225,-0.625,-0.7,0.725,-0.1,1.15,-2.35,1.45,29,1,1
"1",-0.0625,-3.025,-1.625,1.225,-0.85,0.775,0.375,-0.7,-1.275,0.9,1.15,0.65,-0.55,17,1,1
