"SID","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","authentic","SE","Happy","Lonely","day","real_order","pos_emotion","neg_emotion"
"40",0.025,0.0227272727272727,-0.681818181818182,0.409090909090909,-1.06818181818182,-0.363636363636364,-0.125,1.29545454545455,-0.840909090909091,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,5.54545454545455,0.863636363636363,NA,NA
"40",0.025,0.0227272727272727,-0.681818181818182,0.409090909090909,-0.0681818181818182,-0.363636363636364,-0.125,0.295454545454545,-0.840909090909091,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,1.54545454545455,-0.136363636363637,NA,NA
"40",0.025,-0.977272727272727,-0.681818181818182,0.409090909090909,-0.0681818181818182,-0.363636363636364,-0.125,1.29545454545455,0.159090909090909,-0.977272727272727,-0.0227272727272729,0,-0.181818181818182,-2.45454545454545,-1.13636363636364,NA,NA
"40",-0.975,-0.977272727272727,-0.681818181818182,-0.590909090909091,-1.06818181818182,-0.363636363636364,-0.125,1.29545454545455,-0.840909090909091,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,-6.45454545454545,-2.13636363636364,NA,NA
"40",0.025,0.0227272727272727,-0.681818181818182,0.409090909090909,-1.06818181818182,-0.363636363636364,-0.125,0.295454545454545,-0.840909090909091,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,-10.4545454545455,-3.13636363636364,NA,NA
"40",0.025,0.0227272727272727,0.318181818181818,0.409090909090909,-0.0681818181818182,-0.363636363636364,0.875,0.295454545454545,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,-14.4545454545455,2.86363636363636,NA,NA
"40",0.025,1.02272727272727,1.31818181818182,0.409090909090909,0.931818181818182,-0.363636363636364,0.875,0.295454545454545,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,0.818181818181818,-18.4545454545455,1.86363636363636,NA,NA
"40",0.025,1.02272727272727,1.31818181818182,0.409090909090909,-1.06818181818182,-0.363636363636364,-0.125,0.295454545454545,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,18.5454545454545,-3.13636363636364,NA,NA
"40",0.025,0.0227272727272727,-0.681818181818182,-0.590909090909091,-0.0681818181818182,0.636363636363636,0.875,0.295454545454545,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,14.5454545454545,2.86363636363636,NA,NA
"40",1.025,0.0227272727272727,0.318181818181818,-0.590909090909091,0.931818181818182,0.636363636363636,-0.125,0.295454545454545,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,10.5454545454545,1.86363636363636,NA,NA
"40",NA,1.02272727272727,0.318181818181818,0.409090909090909,-0.0681818181818182,-0.363636363636364,NA,0.295454545454545,0.159090909090909,1.02272727272727,-0.0227272727272729,0,0.818181818181818,6.54545454545455,0.863636363636363,NA,NA
"40",-0.975,0.0227272727272727,-0.681818181818182,-0.590909090909091,-1.06818181818182,-0.363636363636364,-0.125,0.295454545454545,-0.840909090909091,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,2.54545454545455,-0.136363636363637,NA,NA
"40",-0.975,0.0227272727272727,0.318181818181818,0.409090909090909,0.931818181818182,-0.363636363636364,-0.125,-0.704545454545455,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,-1.45454545454545,-1.13636363636364,NA,NA
"40",-0.975,-0.977272727272727,-0.681818181818182,0.409090909090909,-1.06818181818182,-0.363636363636364,-0.125,0.295454545454545,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,-5.45454545454545,-2.13636363636364,NA,NA
"40",0.025,0.0227272727272727,-0.681818181818182,0.409090909090909,-0.0681818181818182,-0.363636363636364,-0.125,-0.704545454545455,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,-9.45454545454545,-3.13636363636364,NA,NA
"40",-0.975,-0.977272727272727,0.318181818181818,0.409090909090909,0.931818181818182,-0.363636363636364,-0.125,-0.704545454545455,1.15909090909091,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,-13.4545454545455,2.86363636363636,NA,NA
"40",1.025,-0.977272727272727,-0.681818181818182,-0.590909090909091,0.931818181818182,0.636363636363636,0.875,-0.704545454545455,0.159090909090909,-0.977272727272727,-0.0227272727272729,0,0.818181818181818,-17.4545454545455,1.86363636363636,NA,NA
"40",0.025,0.0227272727272727,0.318181818181818,0.409090909090909,-0.0681818181818182,-0.363636363636364,-0.125,0.295454545454545,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,19.5454545454545,-3.13636363636364,NA,NA
"40",1.025,1.02272727272727,1.31818181818182,-0.590909090909091,0.931818181818182,-0.363636363636364,-0.125,-0.704545454545455,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,1.81818181818182,15.5454545454545,2.86363636363636,NA,NA
"40",1.025,-0.977272727272727,-0.681818181818182,-0.590909090909091,-0.0681818181818182,0.636363636363636,-0.125,0.295454545454545,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,11.5454545454545,1.86363636363636,NA,NA
"40",0.025,-0.977272727272727,0.318181818181818,0.409090909090909,-0.0681818181818182,0.636363636363636,-0.125,0.295454545454545,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,7.54545454545455,0.863636363636363,NA,NA
"40",1.025,-0.977272727272727,0.318181818181818,0.409090909090909,-0.0681818181818182,1.63636363636364,-0.125,-0.704545454545455,-0.840909090909091,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,3.54545454545455,-0.136363636363637,NA,NA
"40",-0.975,1.02272727272727,1.31818181818182,0.409090909090909,-0.0681818181818182,-0.363636363636364,-0.125,-0.704545454545455,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,-0.454545454545453,-1.13636363636364,NA,NA
"40",-0.975,-0.977272727272727,0.318181818181818,-0.590909090909091,-1.06818181818182,1.63636363636364,-0.125,-0.704545454545455,0.159090909090909,-0.977272727272727,-0.0227272727272729,0,-0.181818181818182,-4.45454545454545,-2.13636363636364,NA,NA
"40",0.025,-0.977272727272727,0.318181818181818,-0.590909090909091,-0.0681818181818182,1.63636363636364,-0.125,-0.704545454545455,0.159090909090909,-0.977272727272727,-0.0227272727272729,0,-0.181818181818182,-8.45454545454545,-3.13636363636364,NA,NA
"40",0.025,0.0227272727272727,0.318181818181818,-0.590909090909091,0.931818181818182,-0.363636363636364,-0.125,0.295454545454545,0.159090909090909,0.0227272727272727,-0.0227272727272729,0,-0.181818181818182,-12.4545454545455,2.86363636363636,NA,NA
"40",NA,1.02272727272727,1.31818181818182,0.409090909090909,0.931818181818182,-0.363636363636364,NA,-0.704545454545455,0.159090909090909,1.02272727272727,-0.0227272727272729,0,-0.181818181818182,-16.4545454545455,1.86363636363636,NA,NA
"40",0.025,1.02272727272727,-0.681818181818182,0.409090909090909,-0.0681818181818182,0.636363636363636,-0.125,0.295454545454545,0.159090909090909,-0.977272727272727,-0.0227272727272729,NA,-0.181818181818182,-20.4545454545455,0.863636363636363,NA,NA
"40",0.025,-0.977272727272727,-1.68181818181818,0.409090909090909,-0.0681818181818182,0.636363636363636,-0.125,0.295454545454545,0.159090909090909,0.0227272727272727,0.977272727272727,0,-0.181818181818182,-23.4545454545455,0.863636363636363,NA,NA
"41",-0.411764705882353,-1.625,-1.08333333333333,0.958333333333333,-0.541666666666667,1.16666666666667,1.29411764705882,0.5,-1.125,-0.208333333333333,0.25,1.125,-0.0833333333333334,27.4583333333333,-0.083333333333333,NA,NA
"41",NA,2.375,-1.08333333333333,0.958333333333333,-0.541666666666667,-1.83333333333333,NA,1.5,-0.125,0.791666666666667,1.25,1.125,-0.0833333333333334,23.4583333333333,-1.08333333333333,NA,NA
"41",NA,0.375,-1.08333333333333,-2.04166666666667,2.45833333333333,-1.83333333333333,NA,-1.5,2.875,0.791666666666667,-1.75,-1.875,-0.0833333333333334,7.45833333333333,1.91666666666667,NA,NA
"41",-0.411764705882353,-0.625,-0.0833333333333333,-1.04166666666667,2.45833333333333,0.166666666666667,0.294117647058824,0.5,0.875,-1.20833333333333,-0.75,0.125,-0.0833333333333334,-0.541666666666668,-0.083333333333333,NA,NA
"41",NA,-1.625,0.916666666666667,-0.0416666666666666,-0.541666666666667,1.16666666666667,NA,0.5,-0.125,-0.208333333333333,0.25,1.125,-0.0833333333333334,-4.54166666666667,-1.08333333333333,NA,NA
"41",-0.411764705882353,1.375,1.91666666666667,-0.0416666666666666,-0.541666666666667,-0.833333333333333,0.294117647058824,0.5,-0.125,-1.20833333333333,-1.75,-1.875,-0.0833333333333334,-12.5416666666667,-3.08333333333333,NA,NA
"41",-0.411764705882353,-0.625,-1.08333333333333,0.958333333333333,0.458333333333333,-0.833333333333333,-0.705882352941176,-0.5,-0.125,0.791666666666667,-0.75,0.125,-0.0833333333333334,24.4583333333333,-1.08333333333333,NA,NA
"41",-0.411764705882353,-0.625,-1.08333333333333,0.958333333333333,-0.541666666666667,-1.83333333333333,0.294117647058824,0.5,-0.125,0.791666666666667,0.25,0.125,-0.0833333333333334,16.4583333333333,-3.08333333333333,NA,NA
"41",NA,2.375,-1.08333333333333,-1.04166666666667,0.458333333333333,0.166666666666667,NA,-0.5,0.875,-0.208333333333333,-0.75,-0.875,-0.0833333333333334,8.45833333333333,1.91666666666667,NA,NA
"41",-0.411764705882353,-1.625,-0.0833333333333333,-2.04166666666667,-0.541666666666667,0.166666666666667,1.29411764705882,0.5,-0.125,0.791666666666667,0.25,1.125,-0.0833333333333334,0.458333333333332,-0.083333333333333,NA,NA
"41",0.588235294117647,-0.625,1.91666666666667,0.958333333333333,-0.541666666666667,2.16666666666667,0.294117647058824,-0.5,-1.125,-0.208333333333333,0.25,0.125,-0.0833333333333334,-19.5416666666667,1.91666666666667,NA,NA
"41",0.588235294117647,-1.625,0.916666666666667,-0.0416666666666666,-0.541666666666667,1.16666666666667,0.294117647058824,-0.5,-0.125,0.791666666666667,0.25,1.125,-0.0833333333333334,-23.5416666666667,0.916666666666667,NA,NA
"41",0.588235294117647,2.375,-1.08333333333333,-1.04166666666667,-0.541666666666667,-1.83333333333333,-0.705882352941176,-0.5,-0.125,0.791666666666667,0.25,-0.875,-0.0833333333333334,17.4583333333333,-3.08333333333333,NA,NA
"41",NA,0.375,-1.08333333333333,-0.0416666666666666,0.458333333333333,-0.833333333333333,NA,-0.5,0.875,-1.20833333333333,0.25,0.125,-0.0833333333333334,13.4583333333333,2.91666666666667,NA,NA
"41",NA,2.375,-0.0833333333333333,0.958333333333333,-0.541666666666667,-1.83333333333333,NA,1.5,-0.125,0.791666666666667,0.25,0.125,-0.0833333333333334,9.45833333333333,1.91666666666667,NA,NA
"41",0.588235294117647,1.375,-0.0833333333333333,-1.04166666666667,1.45833333333333,-0.833333333333333,-1.70588235294118,-1.5,-0.125,-0.208333333333333,-1.75,-1.875,0.916666666666667,-2.54166666666667,-1.08333333333333,NA,NA
"41",-0.411764705882353,-0.625,2.91666666666667,0.958333333333333,-0.541666666666667,2.16666666666667,0.294117647058824,0.5,-1.125,-0.208333333333333,0.25,0.125,-0.0833333333333334,-14.5416666666667,2.91666666666667,NA,NA
"41",-0.411764705882353,-1.625,-0.0833333333333333,0.958333333333333,-0.541666666666667,1.16666666666667,-0.705882352941176,0.5,-1.125,0.791666666666667,1.25,1.125,-0.0833333333333334,-18.5416666666667,1.91666666666667,NA,NA
"41",-0.411764705882353,-1.625,-1.08333333333333,0.958333333333333,0.458333333333333,-0.833333333333333,-0.705882352941176,-0.5,-0.125,-0.208333333333333,0.25,0.125,-0.0833333333333334,18.4583333333333,-3.08333333333333,NA,NA
"41",0.588235294117647,0.375,1.91666666666667,-2.04166666666667,-0.541666666666667,0.166666666666667,0.294117647058824,-1.5,0.875,-2.20833333333333,-0.75,-0.875,0.916666666666667,-1.54166666666667,-1.08333333333333,NA,NA
"41",-0.411764705882353,-0.625,-1.08333333333333,0.958333333333333,-0.541666666666667,2.16666666666667,1.29411764705882,-0.5,-0.125,-0.208333333333333,1.25,1.125,-0.0833333333333334,-9.54166666666667,-3.08333333333333,NA,NA
"41",NA,0.375,-0.0833333333333333,0.958333333333333,-0.541666666666667,-0.833333333333333,NA,-0.5,0.875,-0.208333333333333,0.25,-0.875,-0.0833333333333334,-13.5416666666667,2.91666666666667,NA,NA
"41",1.58823529411765,-0.625,1.91666666666667,-0.0416666666666666,0.458333333333333,2.16666666666667,-0.705882352941176,0.5,-1.125,0.791666666666667,1.25,0.125,-0.0833333333333334,-21.5416666666667,0.916666666666667,NA,NA
"41",-0.411764705882353,0.375,-1.08333333333333,-0.0416666666666666,-0.541666666666667,0.166666666666667,-0.705882352941176,1.5,-0.125,-0.208333333333333,0.25,0.125,-0.0833333333333334,-24.5416666666667,0.916666666666667,NA,NA
"44",-0.609756097560976,1.75609756097561,-1.4390243902439,0.51219512195122,1.60975609756098,-1.78048780487805,-0.0731707317073171,0.146341463414634,0.560975609756098,-0.829268292682927,-0.731707317073171,-0.682926829268293,1.5609756097561,24.7560975609756,-3.31707317073171,NA,NA
"44",-0.609756097560976,1.75609756097561,2.5609756097561,0.51219512195122,1.60975609756098,-1.78048780487805,-2.07317073170732,-0.853658536585366,-0.439024390243902,0.170731707317073,-0.731707317073171,-0.682926829268293,-0.439024390243902,20.7560975609756,2.68292682926829,NA,NA
"44",0.390243902439024,-0.24390243902439,-0.439024390243902,-0.48780487804878,0.609756097560976,0.219512195121951,-0.0731707317073171,-0.853658536585366,-0.439024390243902,0.170731707317073,-0.731707317073171,0.317073170731707,1.5609756097561,8.75609756097561,-0.317073170731708,NA,NA
"44",1.39024390243902,0.75609756097561,1.5609756097561,-0.48780487804878,-0.390243902439024,0.219512195121951,-0.0731707317073171,0.146341463414634,-0.439024390243902,0.170731707317073,-0.731707317073171,-0.682926829268293,1.5609756097561,4.75609756097561,-1.31707317073171,NA,NA
"44",-0.609756097560976,1.75609756097561,-1.4390243902439,-1.48780487804878,-0.390243902439024,-1.78048780487805,-0.0731707317073171,0.146341463414634,1.5609756097561,0.170731707317073,-1.73170731707317,-1.68292682926829,-0.439024390243902,-3.24390243902439,-3.31707317073171,NA,NA
"44",-0.609756097560976,-1.24390243902439,-0.439024390243902,-0.48780487804878,-0.390243902439024,0.219512195121951,0.926829268292683,-0.853658536585366,0.560975609756098,0.170731707317073,0.268292682926829,0.317073170731707,-0.439024390243902,-7.24390243902439,2.68292682926829,NA,NA
"44",-0.609756097560976,-0.24390243902439,2.5609756097561,1.51219512195122,0.609756097560976,-1.78048780487805,-2.07317073170732,-0.853658536585366,-1.4390243902439,-0.829268292682927,-0.731707317073171,-0.682926829268293,-0.439024390243902,-15.2439024390244,0.682926829268292,NA,NA
"44",-0.609756097560976,0.75609756097561,-0.439024390243902,-0.48780487804878,0.609756097560976,0.219512195121951,-1.07317073170732,-0.853658536585366,-0.439024390243902,0.170731707317073,-0.731707317073171,0.317073170731707,1.5609756097561,-19.2439024390244,-0.317073170731708,NA,NA
"44",-0.609756097560976,-0.24390243902439,-0.439024390243902,-0.48780487804878,-0.390243902439024,-0.780487804878049,-0.0731707317073171,0.146341463414634,-0.439024390243902,0.170731707317073,0.268292682926829,0.317073170731707,-0.439024390243902,-23.2439024390244,-1.31707317073171,NA,NA
"44",0.390243902439024,1.75609756097561,0.560975609756098,0.51219512195122,1.60975609756098,-1.78048780487805,0.926829268292683,0.146341463414634,0.560975609756098,-0.829268292682927,0.268292682926829,-0.682926829268293,0.560975609756098,25.7560975609756,-3.31707317073171,NA,NA
"44",0.390243902439024,-0.24390243902439,0.560975609756098,1.51219512195122,-0.390243902439024,1.21951219512195,1.92682926829268,0.146341463414634,-1.4390243902439,1.17073170731707,0.268292682926829,1.31707317073171,0.560975609756098,21.7560975609756,2.68292682926829,NA,NA
"44",0.390243902439024,-1.24390243902439,1.5609756097561,-0.48780487804878,-0.390243902439024,2.21951219512195,-0.0731707317073171,1.14634146341463,1.5609756097561,0.170731707317073,0.268292682926829,0.317073170731707,-0.439024390243902,17.7560975609756,1.68292682926829,NA,NA
"44",0.390243902439024,1.75609756097561,1.5609756097561,0.51219512195122,0.609756097560976,0.219512195121951,-0.0731707317073171,-0.853658536585366,0.560975609756098,-0.829268292682927,0.268292682926829,-0.682926829268293,0.560975609756098,13.7560975609756,0.682926829268292,NA,NA
"44",0.390243902439024,-0.24390243902439,-0.439024390243902,-0.48780487804878,0.609756097560976,0.219512195121951,-0.0731707317073171,0.146341463414634,0.560975609756098,0.170731707317073,0.268292682926829,-0.682926829268293,1.5609756097561,9.75609756097561,-0.317073170731708,NA,NA
"44",-0.609756097560976,-0.24390243902439,-0.439024390243902,-0.48780487804878,-0.390243902439024,0.219512195121951,-0.0731707317073171,0.146341463414634,-0.439024390243902,-0.829268292682927,0.268292682926829,0.317073170731707,0.560975609756098,1.75609756097561,-2.31707317073171,NA,NA
"44",-0.609756097560976,-1.24390243902439,-1.4390243902439,0.51219512195122,-0.390243902439024,0.219512195121951,-0.0731707317073171,1.14634146341463,1.5609756097561,1.17073170731707,0.268292682926829,0.317073170731707,-0.439024390243902,-6.24390243902439,2.68292682926829,NA,NA
"44",-0.609756097560976,1.75609756097561,-1.4390243902439,-0.48780487804878,-0.390243902439024,-0.780487804878049,-0.0731707317073171,-0.853658536585366,-1.4390243902439,0.170731707317073,0.268292682926829,0.317073170731707,-0.439024390243902,-10.2439024390244,1.68292682926829,NA,NA
"44",-0.609756097560976,-1.24390243902439,0.560975609756098,1.51219512195122,-0.390243902439024,1.21951219512195,0.926829268292683,0.146341463414634,-0.439024390243902,1.17073170731707,0.268292682926829,0.317073170731707,-0.439024390243902,-14.2439024390244,0.682926829268292,NA,NA
"44",-0.609756097560976,1.75609756097561,-1.4390243902439,-0.48780487804878,-0.390243902439024,-0.780487804878049,-0.0731707317073171,0.146341463414634,-0.439024390243902,0.170731707317073,0.268292682926829,0.317073170731707,-0.439024390243902,-22.2439024390244,-1.31707317073171,NA,NA
"44",-0.609756097560976,1.75609756097561,0.560975609756098,-0.48780487804878,0.609756097560976,-1.78048780487805,-1.07317073170732,0.146341463414634,0.560975609756098,0.170731707317073,0.268292682926829,-0.682926829268293,0.560975609756098,22.7560975609756,2.68292682926829,NA,NA
"44",1.39024390243902,-1.24390243902439,0.560975609756098,0.51219512195122,-0.390243902439024,1.21951219512195,0.926829268292683,1.14634146341463,-1.4390243902439,0.170731707317073,0.268292682926829,0.317073170731707,-0.439024390243902,18.7560975609756,1.68292682926829,NA,NA
"44",1.39024390243902,-1.24390243902439,-1.4390243902439,0.51219512195122,-0.390243902439024,1.21951219512195,0.926829268292683,0.146341463414634,-1.4390243902439,0.170731707317073,0.268292682926829,0.317073170731707,-0.439024390243902,14.7560975609756,0.682926829268292,NA,NA
"44",1.39024390243902,-1.24390243902439,1.5609756097561,1.51219512195122,-0.390243902439024,0.219512195121951,0.926829268292683,0.146341463414634,0.560975609756098,0.170731707317073,0.268292682926829,0.317073170731707,0.560975609756098,6.75609756097561,-1.31707317073171,NA,NA
"44",0.390243902439024,-1.24390243902439,0.560975609756098,-0.48780487804878,-0.390243902439024,1.21951219512195,-0.0731707317073171,0.146341463414634,0.560975609756098,-0.829268292682927,-0.731707317073171,0.317073170731707,0.560975609756098,2.75609756097561,-2.31707317073171,NA,NA
"44",-0.609756097560976,-0.24390243902439,-1.4390243902439,-0.48780487804878,-0.390243902439024,0.219512195121951,-1.07317073170732,0.146341463414634,0.560975609756098,0.170731707317073,0.268292682926829,0.317073170731707,-0.439024390243902,-5.24390243902439,2.68292682926829,NA,NA
"44",-0.609756097560976,0.75609756097561,-0.439024390243902,-0.48780487804878,-0.390243902439024,-0.780487804878049,-2.07317073170732,-0.853658536585366,0.560975609756098,-0.829268292682927,0.268292682926829,0.317073170731707,-0.439024390243902,-9.24390243902439,1.68292682926829,NA,NA
"44",-0.609756097560976,-2.24390243902439,-0.439024390243902,-0.48780487804878,0.609756097560976,1.21951219512195,0.926829268292683,0.146341463414634,-1.4390243902439,-0.829268292682927,0.268292682926829,1.31707317073171,-0.439024390243902,-17.2439024390244,-0.317073170731708,NA,NA
"44",0.390243902439024,-0.24390243902439,-1.4390243902439,-1.48780487804878,-0.390243902439024,0.219512195121951,0.926829268292683,1.14634146341463,-0.439024390243902,0.170731707317073,0.268292682926829,0.317073170731707,-0.439024390243902,-21.2439024390244,-1.31707317073171,NA,NA
"44",-0.609756097560976,-0.24390243902439,0.560975609756098,0.51219512195122,-0.390243902439024,1.21951219512195,-0.0731707317073171,-0.853658536585366,0.560975609756098,0.170731707317073,0.268292682926829,0.317073170731707,-0.439024390243902,23.7560975609756,2.68292682926829,NA,NA
"44",-0.609756097560976,-2.24390243902439,0.560975609756098,1.51219512195122,-0.390243902439024,2.21951219512195,0.926829268292683,-0.853658536585366,0.560975609756098,0.170731707317073,1.26829268292683,1.31707317073171,-0.439024390243902,19.7560975609756,1.68292682926829,NA,NA
"44",-0.609756097560976,1.75609756097561,0.560975609756098,1.51219512195122,-0.390243902439024,-1.78048780487805,-0.0731707317073171,1.14634146341463,-0.439024390243902,1.17073170731707,0.268292682926829,0.317073170731707,-0.439024390243902,15.7560975609756,0.682926829268292,NA,NA
"44",0.390243902439024,-1.24390243902439,1.5609756097561,-0.48780487804878,1.60975609756098,1.21951219512195,0.926829268292683,0.146341463414634,0.560975609756098,-0.829268292682927,0.268292682926829,-0.682926829268293,0.560975609756098,7.75609756097561,-1.31707317073171,NA,NA
"44",1.39024390243902,-1.24390243902439,-0.439024390243902,-0.48780487804878,-0.390243902439024,1.21951219512195,-0.0731707317073171,0.146341463414634,0.560975609756098,0.170731707317073,0.268292682926829,0.317073170731707,-0.439024390243902,3.75609756097561,-2.31707317073171,NA,NA
"44",0.390243902439024,0.75609756097561,-1.4390243902439,-1.48780487804878,-0.390243902439024,0.219512195121951,0.926829268292683,0.146341463414634,0.560975609756098,-0.829268292682927,-0.731707317073171,-0.682926829268293,-0.439024390243902,-0.243902439024389,-3.31707317073171,NA,NA
"44",-0.609756097560976,0.75609756097561,-1.4390243902439,-0.48780487804878,-0.390243902439024,-0.780487804878049,-0.0731707317073171,0.146341463414634,0.560975609756098,0.170731707317073,-0.731707317073171,-0.682926829268293,-0.439024390243902,-4.24390243902439,2.68292682926829,NA,NA
"44",1.39024390243902,-0.24390243902439,-0.439024390243902,-0.48780487804878,0.609756097560976,0.219512195121951,-0.0731707317073171,-0.853658536585366,0.560975609756098,0.170731707317073,-0.731707317073171,-0.682926829268293,-0.439024390243902,-8.24390243902439,1.68292682926829,NA,NA
"44",-0.609756097560976,-1.24390243902439,-0.439024390243902,0.51219512195122,-0.390243902439024,1.21951219512195,0.926829268292683,0.146341463414634,-0.439024390243902,0.170731707317073,0.268292682926829,0.317073170731707,-0.439024390243902,-12.2439024390244,0.682926829268292,NA,NA
"44",0.390243902439024,-0.24390243902439,0.560975609756098,0.51219512195122,-0.390243902439024,0.219512195121951,0.926829268292683,0.146341463414634,-1.4390243902439,-0.829268292682927,0.268292682926829,0.317073170731707,-0.439024390243902,-16.2439024390244,-0.317073170731708,NA,NA
"44",-0.609756097560976,1.75609756097561,-0.439024390243902,-0.48780487804878,-0.390243902439024,-1.78048780487805,-2.07317073170732,0.146341463414634,-0.439024390243902,-0.829268292682927,0.268292682926829,-0.682926829268293,-0.439024390243902,-20.2439024390244,-1.31707317073171,NA,NA
"44",1.39024390243902,-0.24390243902439,1.5609756097561,-0.48780487804878,-0.390243902439024,0.219512195121951,-0.0731707317073171,0.146341463414634,1.5609756097561,0.170731707317073,0.268292682926829,-0.682926829268293,-0.439024390243902,-24.2439024390244,-2.31707317073171,NA,NA
"44",-0.609756097560976,-0.24390243902439,-0.439024390243902,0.51219512195122,-0.390243902439024,-1.78048780487805,-1.07317073170732,0.146341463414634,-0.439024390243902,1.17073170731707,0.268292682926829,0.317073170731707,-0.439024390243902,-26.2439024390244,-2.31707317073171,NA,NA
"45",0.325,-0.931818181818182,-0.545454545454545,0.818181818181818,-1.02272727272727,-0.0227272727272727,0.365853658536585,0.113636363636364,-0.818181818181818,-0.0909090909090909,0.75,-0.295454545454545,-0.886363636363636,19.6363636363636,-2.02272727272727,NA,NA
"45",0.325,2.06818181818182,-1.54545454545455,-2.18181818181818,1.97727272727273,-2.02272727272727,-1.63414634146341,0.113636363636364,1.18181818181818,0.909090909090909,-1.25,-1.29545454545455,1.11363636363636,15.6363636363636,-3.02272727272727,NA,NA
"45",0.325,0.0681818181818182,0.454545454545455,0.818181818181818,-0.0227272727272727,-0.0227272727272727,0.365853658536585,0.113636363636364,-0.818181818181818,-0.0909090909090909,-0.25,0.704545454545455,0.113636363636364,11.6363636363636,2.97727272727273,NA,NA
"45",NA,2.06818181818182,2.45454545454545,1.81818181818182,-0.0227272727272727,-2.02272727272727,NA,0.113636363636364,-0.818181818181818,-0.0909090909090909,-0.25,-0.295454545454545,2.11363636363636,7.63636363636364,1.97727272727273,NA,NA
"45",0.325,1.06818181818182,0.454545454545455,-1.18181818181818,1.97727272727273,-1.02272727272727,-1.63414634146341,-1.88636363636364,2.18181818181818,-0.0909090909090909,-1.25,-1.29545454545455,1.11363636363636,-0.363636363636363,-0.0227272727272725,NA,NA
"45",0.325,0.0681818181818182,-0.545454545454545,-1.18181818181818,0.977272727272727,-1.02272727272727,-0.634146341463415,0.113636363636364,2.18181818181818,-0.0909090909090909,-0.25,-1.29545454545455,0.113636363636364,-4.36363636363636,-1.02272727272727,NA,NA
"45",-0.675,-0.931818181818182,-0.545454545454545,-1.18181818181818,-0.0227272727272727,0.977272727272727,0.365853658536585,0.113636363636364,1.18181818181818,-0.0909090909090909,0.75,-0.295454545454545,-0.886363636363636,-8.36363636363636,-2.02272727272727,NA,NA
"45",0.325,0.0681818181818182,-1.54545454545455,-2.18181818181818,-0.0227272727272727,-0.0227272727272727,-1.63414634146341,0.113636363636364,2.18181818181818,-1.09090909090909,-0.25,-1.29545454545455,0.113636363636364,-12.3636363636364,-3.02272727272727,NA,NA
"45",-0.675,2.06818181818182,-0.545454545454545,-0.181818181818182,0.977272727272727,-1.02272727272727,-0.634146341463415,0.113636363636364,0.181818181818182,0.909090909090909,-0.25,-1.29545454545455,1.11363636363636,-16.3636363636364,2.97727272727273,NA,NA
"45",-0.675,-1.93181818181818,-1.54545454545455,-0.181818181818182,-1.02272727272727,0.977272727272727,0.365853658536585,1.11363636363636,0.181818181818182,0.909090909090909,0.75,1.70454545454545,-0.886363636363636,-20.3636363636364,1.97727272727273,NA,NA
"45",0.325,0.0681818181818182,0.454545454545455,-0.181818181818182,0.977272727272727,-0.0227272727272727,0.365853658536585,0.113636363636364,-0.818181818181818,-0.0909090909090909,-0.25,-0.295454545454545,0.113636363636364,20.6363636363636,-2.02272727272727,NA,NA
"45",0.325,0.0681818181818182,-0.545454545454545,0.818181818181818,-1.02272727272727,-0.0227272727272727,0.365853658536585,0.113636363636364,-0.818181818181818,-0.0909090909090909,0.75,0.704545454545455,0.113636363636364,16.6363636363636,-3.02272727272727,NA,NA
"45",0.325,0.0681818181818182,2.45454545454545,1.81818181818182,-0.0227272727272727,0.977272727272727,0.365853658536585,-0.886363636363636,-1.81818181818182,-0.0909090909090909,-0.25,0.704545454545455,-0.886363636363636,12.6363636363636,2.97727272727273,NA,NA
"45",0.325,-0.931818181818182,0.454545454545455,0.818181818181818,-0.0227272727272727,0.977272727272727,0.365853658536585,0.113636363636364,-0.818181818181818,-0.0909090909090909,0.75,0.704545454545455,0.113636363636364,8.63636363636364,1.97727272727273,NA,NA
