"SID","day","real_order","E_outgoing","E_quiet","C_lazy","C_reliable","N_worried","N_relaxed","N_depressed","A_rude","A_kind","authentic","SE","Happy","Lonely","pos_emotion","neg_emotion"
"6",1,2,3,3,2,4,2,3,1,1,4,3,3,2,2,NA,1
"6",25,1,2,4,2,3,2,3,1,NA,NA,4,3,3,1,NA,1
"6",37,4,1,4,3,4,3,3,1,NA,NA,4,3,3,2,NA,2
"12",2,5,2,5,3,3,2,3,3,2,5,4,2,3,1,3,3
"12",4,5,3,5,2,3,2,2,2,2,3,4,3,3,2,3,2
"12",5,6,2,4,2,4,2,3,2,1,4,3,3,3,1,NA,2
"12",8,6,2,5,4,3,3,3,3,1,3,4,2,2,2,3,2
"12",9,7,4,3,4,3,2,4,2,1,4,4,3,4,2,NA,2
"12",12,7,1,5,3,3,1,4,2,NA,NA,4,3,3,1,3,2
"12",13,1,3,3,2,3,2,4,2,1,4,4,3,4,2,NA,2
"12",17,2,2,5,5,3,2,4,2,NA,NA,4,3,3,2,NA,2
"12",20,2,3,3,2,3,2,3,2,2,4,3,3,3,2,3,3
"12",21,3,5,2,2,3,2,4,2,2,4,4,4,4,2,NA,2
"12",24,3,1,5,4,2,2,3,3,NA,NA,2,2,2,2,2,4
"12",25,4,1,5,5,2,4,3,4,NA,NA,3,3,2,1,NA,3
"12",28,4,4,2,2,3,2,4,2,1,4,4,4,3,1,4,2
"12",29,5,5,1,2,4,2,5,1,2,4,4,4,4,2,NA,2
"12",37,7,4,2,2,4,2,4,2,2,4,4,4,4,2,NA,2
"12",40,7,2,4,3,3,2,4,2,2,3,4,3,3,2,3,2
"12",53,4,4,2,2,4,3,3,2,1,4,3,3,3,2,NA,3
"17",1,2,4,2,2,4,2,3,2,3,5,3,4,4,4,4,2
"17",5,3,2,4,3,3,3,3,2,1,3,4,4,3,3,NA,3
"17",8,3,1,5,4,3,3,3,2,2,3,2,4,4,4,3,2
"17",9,4,3,4,2,4,2,4,1,1,3,3,4,3,3,NA,2
"17",12,4,1,5,3,3,3,3,1,1,2,3,4,4,3,4,1
